Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	2121	0.12	-0.499	1	0.14	0.29	0.768
1q	1955	0.24	4.59	1.47e-05	0.11	-1.52	1
2p	924	0.20	-1.26	1	0.06	-6.35	1
2q	1556	0.15	-1.13	1	0.08	-3.96	1
3p	1062	0.18	-0.94	1	0.74	21.7	0
3q	1139	0.54	12.1	0	0.40	6.29	9.21e-10
4p	489	0.12	-4.39	1	0.43	6.1	2.71e-09
4q	1049	0.11	-3.91	1	0.33	4.56	9.19e-06
5p	270	0.37	2.94	0.00833	0.21	-2.29	1
5q	1427	0.13	-1.98	1	0.39	8.78	0
6p	1173	0.15	-2.3	1	0.18	-1.19	1
6q	839	0.11	-4.72	1	0.17	-2.51	1
7p	641	0.36	4.15	9.5e-05	0.10	-4.94	1
7q	1277	0.25	2.2	0.0553	0.13	-2.82	1
8p	580	0.33	2.11	0.0633	0.56	10.8	0
8q	859	0.60	14.5	0	0.19	-1.27	1
9p	422	0.30	0.747	0.65	0.46	6.55	1.89e-10
9q	1113	0.28	2.64	0.0183	0.25	1.33	0.203
10p	409	0.10	-5.5	1	0.34	2.42	0.0239
10q	1268	0.08	-4.49	1	0.24	1.68	0.115
11p	862	0.14	-3.27	1	0.30	2.48	0.0218
11q	1515	0.18	-0.191	1	0.35	7.37	6.93e-13
12p	575	0.31	2.07	0.0635	0.12	-4.74	1
12q	1447	0.18	-0.341	1	0.08	-4.42	1
13q	654	0.17	-2.81	1	0.38	4.76	4.37e-06
14q	1341	0.32	5.22	8.71e-07	0.14	-1.97	1
15q	1355	0.19	-0.115	1	0.23	1.53	0.147
16p	872	0.22	-0.573	1	0.12	-4.3	1
16q	702	0.23	-0.789	1	0.17	-2.7	1
17p	683	0.16	-3.06	1	0.26	0.288	0.768
17q	1592	0.18	0.225	1	0.08	-3.86	1
18p	143	0.27	-0.728	1	0.30	0.176	0.782
18q	446	0.15	-3.46	1	0.49	8.09	3.33e-15
19p	995	0.10	-4.64	1	0.23	0.245	0.768
19q	1709	0.14	-0.88	1	0.20	1.76	0.104
20p	355	0.42	5.05	1.73e-06	0.22	-1.85	1
20q	753	0.42	6.73	1.13e-10	0.15	-2.96	1
21q	509	0.11	-5.02	1	0.39	4.6	8.26e-06
22q	921	0.26	1.03	0.463	0.19	-1.4	1
Xq	1312	0.21	0.675	0.666	0.25	2.18	0.0422
