"path_id"	"full_path_length"	"testable_path_length"	"drug_targeted_genes"	"proportion_drug_targeted"
"Abacavir transmembrane transport"	"Abacavir transmembrane transport"	5	5	5	1
"RSK activation"	"RSK activation"	6	6	6	1
"Signaling by FGFR1 amplification mutants"	"Signaling by FGFR1 amplification mutants"	1	1	1	1
"Signaling by FGFR2 amplification mutants"	"Signaling by FGFR2 amplification mutants"	1	1	1	1
"Signaling by FGFR4 mutants"	"Signaling by FGFR4 mutants"	1	1	1	1
"Signalling to ERK5"	"Signalling to ERK5"	2	2	2	1
"t(4;14) translocations of FGFR3"	"t(4;14) translocations of FGFR3"	1	1	1	1
"Reversible hydration of carbon dioxide"	"Reversible hydration of carbon dioxide"	12	12	11	0.916666666666667
"Activation of the AP-1 family of transcription factors"	"Activation of the AP-1 family of transcription factors"	10	10	8	0.8
"AKT-mediated inactivation of FOXO1A"	"AKT-mediated inactivation of FOXO1A"	4	4	3	0.75
"ERK activation"	"ERK activation"	12	12	9	0.75
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	"Activation of NIMA Kinases NEK9, NEK6, NEK7"	7	7	5	0.714285714285714
"CREB phosphorylation"	"CREB phosphorylation"	7	7	5	0.714285714285714
"ERK1 activation"	"ERK1 activation"	10	10	7	0.7
"Activation of BIM and translocation to mitochondria"	"Activation of BIM and translocation to mitochondria"	3	3	2	0.666666666666667
"ERK2 activation"	"ERK2 activation"	9	9	6	0.666666666666667
"Formation of apoptosome"	"Formation of apoptosome"	3	3	2	0.666666666666667
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	5	5	3	0.6
"G2/M DNA replication checkpoint"	"G2/M DNA replication checkpoint"	5	5	3	0.6
"RAF/MAP kinase cascade"	"RAF/MAP kinase cascade"	17	17	10	0.588235294117647
"Serotonin receptors"	"Serotonin receptors"	12	12	7	0.583333333333333
"GRB2 events in EGFR signaling"	"GRB2 events in EGFR signaling"	21	21	12	0.571428571428571
"Regulation of KIT signaling"	"Regulation of KIT signaling"	16	16	9	0.5625
"Metabolism of folate and pterines"	"Metabolism of folate and pterines"	9	9	5	0.555555555555556
"DSCAM interactions"	"DSCAM interactions"	11	11	6	0.545454545454545
"SHC1 events in EGFR signaling"	"SHC1 events in EGFR signaling"	22	22	12	0.545454545454545
"Signalling to p38 via RIT and RIN"	"Signalling to p38 via RIT and RIN"	22	22	12	0.545454545454545
