"path number"	"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"1"	1	"Abacavir transmembrane transport"	5	5	5	1	5	5	5	1	0.0531496062992126	27	27	16	1	0	0
"2"	2	"RSK activation"	6	6	6	1	6	6	6	1	0.0551181102362205	28	30	8	1	0	0
"3"	3	"Signaling by FGFR1 amplification mutants"	1	1	1	1	1	1	1	1	0.00196850393700787	1	1	1	1	0	0
"4"	4	"Signaling by FGFR2 amplification mutants"	1	1	1	1	1	1	1	1	0.00590551181102362	3	3	3	3	0	0
"5"	5	"Signaling by FGFR4 mutants"	1	1	1	1	1	1	1	1	0.00984251968503937	5	5	5	5	0	0
"6"	6	"Signalling to ERK5"	2	2	2	1	2	2	2	1	0.0177165354330709	9	9	6	3	0	0
"7"	7	"t(4;14) translocations of FGFR3"	1	1	1	1	1	1	1	1	0.0177165354330709	9	9	9	9	0	0
"8"	8	"Activation of the AP-1 family of transcription factors"	10	10	8	0.8	10	10	10	1	0.0590551181102362	30	32	8	1	0	0
"9"	9	"AKT-mediated inactivation of FOXO1A"	4	4	3	0.75	4	4	4	1	0.031496062992126	16	16	7	2	0	0
"10"	10	"Activation of BIM and translocation to mitochondria"	3	3	2	0.666666666666667	3	3	3	1	0.0078740157480315	4	4	2	1	0	0
"11"	11	"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"	5	5	3	0.6	5	5	5	1	0.0196850393700787	10	10	4	1	0	0
"12"	12	"Serotonin receptors"	12	12	7	0.583333333333333	12	12	12	1	0.102362204724409	52	59	9	1	0	0
"13"	13	"DSCAM interactions"	11	11	6	0.545454545454545	11	11	11	1	0.161417322834646	82	92	24	1	0	0
"14"	14	"Activation of PKB"	4	4	2	0.5	4	4	4	1	0.0118110236220472	6	6	3	1	0	0
"15"	15	"Adenosine P1 receptors"	4	4	2	0.5	4	4	4	1	0.015748031496063	8	8	3	1	0	0
"16"	16	"CD28 dependent Vav1 pathway"	12	12	6	0.5	12	12	12	1	0.0826771653543307	42	47	12	1	0	0
"17"	17	"Enzymatic degradation of Dopamine by monoamine oxidase"	2	2	1	0.5	2	2	2	1	0.00393700787401575	2	2	1	1	0	0
"18"	18	"Enzymatic degradation of dopamine by COMT"	2	2	1	0.5	2	2	2	1	0.00393700787401575	2	2	1	1	0	0
"19"	19	"Inhibition of HSL"	2	2	1	0.5	2	2	2	1	0.0118110236220472	6	6	3	3	0	0
"20"	20	"Inhibition of Signaling by Overexpressed EGFR"	2	2	1	0.5	2	2	2	1	0.0393700787401575	20	21	14	7	0	0
"21"	21	"Neurophilin interactions with VEGF and VEGFR"	4	4	2	0.5	4	4	4	1	0.0610236220472441	31	35	12	4	0	0
"22"	22	"Neurotransmitter Clearance In The Synaptic Cleft"	8	8	4	0.5	8	8	8	1	0.0413385826771654	21	22	6	1	0	0
"23"	23	"PDE3B signalling"	2	2	1	0.5	2	2	2	1	0.0118110236220472	6	6	3	3	0	0
"24"	24	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	1	0.5	2	2	2	1	0.0196850393700787	10	10	6	4	0	0
"25"	25	"Stimulation of the cell death response by PAK-2p34"	2	2	1	0.5	2	2	2	1	0.015748031496063	8	8	6	2	0	0
"26"	26	"TRKA activation by NGF"	2	2	1	0.5	2	2	2	1	0.0078740157480315	4	4	3	1	0	0
"27"	27	"p75NTR negatively regulates cell cycle via SC1"	6	6	3	0.5	6	6	6	1	0.0255905511811024	13	13	4	1	0	0
"28"	28	"phospho-PLA2 pathway"	2	2	1	0.5	2	2	2	1	0.0216535433070866	11	11	8	3	0	0
"29"	29	"Recycling of bile acids and salts"	15	15	7	0.466666666666667	15	15	15	1	0.125984251968504	64	79	10	1	0	0
"30"	30	"Post NMDA receptor activation events"	35	35	16	0.457142857142857	35	35	34	0.971428571428571	0.354330708661417	180	259	29	0	0.00139498950055716	0.0487640581104277
"31"	31	"CREB phosphorylation through the activation of Ras"	27	27	12	0.444444444444444	27	27	27	1	0.283464566929134	144	200	29	1	0	0
"32"	32	"G2/M DNA damage checkpoint"	9	9	4	0.444444444444444	9	9	9	1	0.100393700787402	51	55	22	1	0	0
"33"	33	"Sema3A PAK dependent Axon repulsion"	16	16	7	0.4375	16	16	16	1	0.208661417322835	106	126	19	2	0	0
"34"	34	"MEK activation"	7	7	3	0.428571428571429	7	7	7	1	0.0807086614173228	41	44	29	1	0	0
"35"	35	"RAF phosphorylates MEK"	7	7	3	0.428571428571429	7	7	7	1	0.0807086614173228	41	44	29	1	0	0
"36"	36	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	39	39	16	0.41025641025641	39	39	38	0.974358974358974	0.389763779527559	198	304	29	0	0.000656621125588952	0.0241898756031135
"37"	37	"AMPK inhibits chREBP transcriptional activation activity"	5	5	2	0.4	5	5	5	1	0.0216535433070866	11	11	4	1	0	0
"38"	38	"GRB7 events in ERBB2 signaling"	5	5	2	0.4	5	5	5	1	0.0511811023622047	26	26	13	1	0	0
"39"	39	"NGF-independant TRKA activation"	5	5	2	0.4	5	5	5	1	0.0295275590551181	15	16	5	2	0	0
"40"	40	"PKA-mediated phosphorylation of key metabolic factors"	5	5	2	0.4	5	5	5	1	0.0255905511811024	13	13	4	1	0	0
"41"	41	"Downregulation of ERBB2:ERBB3 signaling"	13	13	5	0.384615384615385	13	13	13	1	0.108267716535433	55	59	13	1	0	0
"42"	42	"CD28 dependent PI3K/Akt signaling"	21	21	8	0.380952380952381	21	21	21	1	0.27755905511811	141	162	86	1	0	0
"43"	43	"Negative regulation of the PI3K/AKT network"	8	8	3	0.375	8	8	8	1	0.0688976377952756	35	36	14	1	0	0
"44"	44	"Organic cation transport"	8	8	3	0.375	8	8	8	1	0.0452755905511811	23	23	8	1	0	0
"45"	45	"AKT phosphorylates targets in the nucleus"	9	9	3	0.333333333333333	9	9	9	1	0.0492125984251969	25	25	7	1	0	0
"46"	46	"Activation of TRKA receptors"	6	6	2	0.333333333333333	6	6	6	1	0.031496062992126	16	17	5	1	0	0
"47"	47	"Dopamine clearance from the synaptic cleft"	3	3	1	0.333333333333333	3	3	3	1	0.0118110236220472	6	6	4	1	0	0
"48"	48	"FGFR1c and Klotho ligand binding and activation"	3	3	1	0.333333333333333	3	3	3	1	0.0196850393700787	10	10	5	1	0	0
"49"	49	"GABA A (rho) receptor activation"	3	3	1	0.333333333333333	3	3	3	1	0.0137795275590551	7	7	4	1	0	0
"50"	50	"Inhibition of TSC complex formation by PKB"	3	3	1	0.333333333333333	3	3	3	1	0.0216535433070866	11	11	6	2	0	0
"51"	51	"Interactions of Tat with host cellular proteins"	3	3	1	0.333333333333333	3	3	3	1	0.0177165354330709	9	9	4	2	0	0
"52"	52	"Klotho-mediated ligand binding"	6	6	2	0.333333333333333	6	6	6	1	0.0452755905511811	23	24	6	1	0	0
"53"	53	"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha"	3	3	1	0.333333333333333	3	3	3	1	0.0255905511811024	13	14	8	3	0	0
"54"	54	"STAT6-mediated induction of chemokines"	3	3	1	0.333333333333333	3	3	3	1	0.015748031496063	8	8	4	2	0	0
"55"	55	"Signalling to STAT3"	3	3	1	0.333333333333333	3	3	3	1	0.0196850393700787	10	10	6	1	0	0
"56"	56	"betaKlotho-mediated ligand binding"	3	3	1	0.333333333333333	3	3	3	1	0.0275590551181102	14	14	6	3	0	0
"57"	57	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	2	0.285714285714286	7	7	7	1	0.106299212598425	54	59	24	1	0	0
"58"	58	"CREB phosphorylation through the activation of CaMKII"	15	15	4	0.266666666666667	15	15	15	1	0.167322834645669	85	106	29	1	0	0
"59"	59	"Constitutive Signaling by EGFRvIII"	15	15	4	0.266666666666667	15	15	15	1	0.295275590551181	150	176	86	1	0	0
"60"	60	"Signaling by EGFR in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"61"	61	"Signaling by EGFRvIII in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"62"	62	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	47	0.259668508287293	181	181	164	0.906077348066298	0.744094488188976	378	894	86	0	0.00101945192726727	0.0366279408679516
"63"	63	"Signaling by EGFR"	179	179	46	0.256983240223464	179	179	162	0.905027932960894	0.742125984251969	377	888	86	0	0.00124879098675357	0.0442599099670069
"64"	64	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	46	0.256983240223464	179	179	162	0.905027932960894	0.742125984251969	377	888	86	0	0.00124879098675357	0.0442599099670069
"65"	65	"CRMPs in Sema3A signaling"	16	16	4	0.25	16	16	16	1	0.181102362204724	92	114	19	1	0	0
"66"	66	"Carnitine synthesis"	4	4	1	0.25	4	4	4	1	0.0118110236220472	6	6	3	1	0	0
"67"	67	"HuR stabilizes mRNA"	8	8	2	0.25	8	8	8	1	0.0688976377952756	35	35	9	1	0	0
"68"	68	"Processing of DNA ends prior to end rejoining"	4	4	1	0.25	4	4	4	1	0.062992125984252	32	35	23	3	0	0
"69"	69	"Proton/oligonucleotide cotransporters"	4	4	1	0.25	4	4	4	1	0.0216535433070866	11	11	5	1	0	0
"70"	70	"Signaling by PDGF"	184	184	46	0.25	184	184	168	0.91304347826087	0.791338582677165	402	1044	86	0	0.000322665267670441	0.0120913259692948
"71"	71	"Signalling by NGF"	287	287	69	0.240418118466899	287	287	256	0.89198606271777	0.84251968503937	428	1409	86	0	0.000903302712909171	0.0327245173157559
"72"	72	"Ras activation uopn Ca2+ infux through NMDA receptor"	17	17	4	0.235294117647059	17	17	17	1	0.238188976377953	121	156	29	1	0	0
"73"	73	"Unblocking of NMDA receptor, glutamate binding and activation"	17	17	4	0.235294117647059	17	17	17	1	0.22244094488189	113	149	29	1	0	0
"74"	74	"Organic cation/anion/zwitterion transport"	13	13	3	0.230769230769231	13	13	13	1	0.0708661417322835	36	42	8	1	0	0
"75"	75	"Apoptotic cleavage of cellular proteins"	38	38	8	0.210526315789474	38	38	37	0.973684210526316	0.391732283464567	199	297	51	0	0.000792768994529625	0.028960814144909
"76"	76	"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	19	19	4	0.210526315789474	19	19	19	1	0.303149606299213	154	185	86	1	0	0
"77"	77	"Centrosome maturation"	72	72	15	0.208333333333333	72	72	68	0.944444444444444	0.446850393700787	227	382	29	0	0.000857787274130883	0.0311619219106787
"78"	78	"Growth hormone receptor signaling"	24	24	5	0.208333333333333	24	24	24	1	0.151574803149606	77	87	9	1	0	0
"79"	79	"Recruitment of mitotic centrosome proteins and complexes"	72	72	15	0.208333333333333	72	72	68	0.944444444444444	0.446850393700787	227	382	29	0	0.000857787274130883	0.0311619219106787
"80"	80	"Disinhibition of SNARE formation"	5	5	1	0.2	5	5	5	1	0.062992125984252	32	35	11	4	0	0
"81"	81	"FGFR1b ligand binding and activation"	5	5	1	0.2	5	5	5	1	0.015748031496063	8	9	3	1	0	0
"82"	82	"Nicotinamide salvaging"	5	5	1	0.2	5	5	5	1	0.0433070866141732	22	23	7	2	0	0
"83"	83	"RAF activation"	5	5	1	0.2	5	5	5	1	0.0669291338582677	34	34	29	1	0	0
"84"	84	"Xenobiotics"	20	20	4	0.2	20	20	20	1	0.118110236220472	60	66	7	1	0	0
"85"	85	"L1CAM interactions"	97	97	19	0.195876288659794	97	97	90	0.927835051546392	0.647637795275591	329	730	30	0	0.0012999190202001	0.0459474814458431
"86"	86	"Axon guidance"	327	327	63	0.192660550458716	327	327	297	0.908256880733945	0.911417322834646	463	2180	30	0	1.06245666511295e-05	0.000446784371494612
"87"	87	"Cytochrome P450 - arranged by substrate type"	60	60	11	0.183333333333333	60	60	58	0.966666666666667	0.312992125984252	159	220	8	0	0.000168217242716096	0.00691815880446344
"88"	88	"CYP2E1 reactions"	11	11	2	0.181818181818182	11	11	11	1	0.0748031496062992	38	41	6	1	0	0
"89"	89	"Import of palmitoyl-CoA into the mitochondrial matrix"	11	11	2	0.181818181818182	11	11	11	1	0.118110236220472	60	63	18	1	0	0
"90"	90	"Nephrin interactions"	22	22	4	0.181818181818182	22	22	22	1	0.372047244094488	189	244	86	2	0	0
