"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"765"	"Voltage gated Potassium channels"	43	43	2	0.0465116279069767	43	43	41	0.953488372093023	0.32741617357002	166	239	20	0	0.00137278018486819	0.0553738682947877
"338"	"Loss of Nlp from mitotic centrosomes"	62	62	13	0.209677419354839	62	62	58	0.935483870967742	0.388560157790927	197	303	28	0	0.001386010355787	0.0555645430203023
"339"	"Loss of proteins required for interphase microtubule organization from the centrosome"	62	62	13	0.209677419354839	62	62	58	0.935483870967742	0.388560157790927	197	303	28	0	0.001386010355787	0.0555645430203023
"474"	"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"475"	"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"476"	"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"477"	"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"478"	"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"479"	"Defective CYP1B1 causes Glaucoma"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"480"	"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"481"	"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"482"	"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
"483"	"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	78	78	11	0.141025641025641	78	78	72	0.923076923076923	0.333333333333333	169	248	8	0	0.00161150912631114	0.060694895270084
