"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"5-Phosphoribose 1-diphosphate biosynthesis"	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	3	1	0.0177165354330709	9	9	5	2	0	0
"ABH2 mediated Reversal of Alkylation Damage"	"ABH2 mediated Reversal of Alkylation Damage"	1	1	1	1	0.00393700787401575	2	2	2	2	0	0
"ABH3 mediated Reversal of Alkylation Damage"	"ABH3 mediated Reversal of Alkylation Damage"	1	1	1	1	0.0078740157480315	4	4	4	4	0	0
"AKT phosphorylates targets in the nucleus"	"AKT phosphorylates targets in the nucleus"	9	9	9	1	0.0492125984251969	25	25	7	1	0	0
"AKT-mediated inactivation of FOXO1A"	"AKT-mediated inactivation of FOXO1A"	4	4	4	1	0.031496062992126	16	16	7	2	0	0
"AMPK inhibits chREBP transcriptional activation activity"	"AMPK inhibits chREBP transcriptional activation activity"	5	5	5	1	0.0216535433070866	11	11	4	1	0	0
"ATM mediated phosphorylation of repair proteins"	"ATM mediated phosphorylation of repair proteins"	5	5	5	1	0.0826771653543307	42	43	14	1	0	0
"ATM mediated response to DNA double-strand break"	"ATM mediated response to DNA double-strand break"	5	5	5	1	0.0826771653543307	42	43	14	1	0	0
"ATP sensitive Potassium channels"	"ATP sensitive Potassium channels"	4	4	4	1	0.0846456692913386	43	43	19	2	0	0
"Abacavir transmembrane transport"	"Abacavir transmembrane transport"	5	5	5	1	0.0531496062992126	27	27	16	1	0	0
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	1	1	1	1	0.0078740157480315	4	4	4	4	0	0
"Abnormal metabolism in phenylketonuria"	"Abnormal metabolism in phenylketonuria"	4	4	4	1	0.0216535433070866	11	11	5	1	0	0
"Acetylcholine regulates insulin secretion"	"Acetylcholine regulates insulin secretion"	10	10	10	1	0.104330708661417	53	59	21	1	0	0
"Acrosome Reaction"	"Acrosome Reaction"	1	1	1	1	0.00196850393700787	1	1	1	1	0	0
"Activation and oligomerization of BAK protein"	"Activation and oligomerization of BAK protein"	2	2	2	1	0.0078740157480315	4	4	3	1	0	0
"Activation of AMPA receptors"	"Activation of AMPA receptors"	4	4	4	1	0.0846456692913386	43	45	15	8	0	0
