"Note"	"Value"
"1"	"Data file name"	"data/TCGA.HNSC.mutect.84c7a87a-9dcc-48fb-bd69-ba9d6e6f3ca2.DR-7.0.somatic_cleaned.maf"
"2"	"Unique patient IDs found in file"	"508"
"3"	"Rows of data read in from file"	"67293"
"4"	"The build of the human genome used to annotate the sequencing data:"	"GRCh38"
"5"	"Number of records after removing duplicate rows"	"67293"
"6"	"Number of records after removing duplicate mutations"	"67293"
"7"	" Note: removal of duplicate mutations assumes these columns can serve as a unique key to identify the mutation."	"Hugo_Symbol Chrom Ncbi_Build Start_Position Reference_Allele Tumor_Sample_Barcode Tumor_Seq_Allele1 Tumor_Seq_Allele2"
"8"	"After symbol correction, the number of mutations without approved HUGO symbols:"	"1639"
"9"	"List of all symbols from the input that were not official HUGO symbols:"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/dataWorkUpNotesTable_9.txt"
"10"	"Mutations per gene before filtering"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/dataWorkUpNotesTable_10.txt"
"11"	"Mutations per patient, before any filtering"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/dataWorkUpNotesTable_11.txt"
"12"	"Summary of mutations per patient before filtering"	"Min.   :   1.00  1st Qu.:  58.75  Median :  92.00  Mean   : 132.47  3rd Qu.: 138.00  Max.   :2613.00  "
"13"	"Before removal of UNKNOWN genes, distribution of mutation types in top 20 most mutated genes"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/graphicstackedGeneBarPreUnknownRemoval.png"
"14"	"After removal of UNKNOWN genes, distribution of mutation types in top 20 most mutated genes."	"./output/study_hnscc/results/somatic_mutation_aberration_summary/graphicstackedGeneBarPostUnknownRemoval.png"
"15"	"Distribution of variant types for all genes"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/graphicDistribution of variant types for all genes.png"
"16"	"Mutation types and counts"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/dataWorkUpNotesTable_16.txt"
"17"	"Retained these mutation types"	"Frame_Shift_Del; Frame_Shift_Ins; In_Frame_Del; In_Frame_Ins; Missense_Mutation; Nonsense_Mutation; Nonstop_Mutation; Splice_Site"
"18"	"Filtered out these mutation types"	"Splice_Region; Translation_Start_Site"
"19"	"Number of mutations after filtering by mutation type"	"67208"
"20"	"Number of variants found in dbSNP"	"61812"
"21"	"Number of mutations without approved HUGO symbols (note: this was checked after filtering and symbol correction)"	"1639"
"22"	"Number of unique mutations after removing records with gene identifier given as \"UNKNOWN\""	"67208"
"23"	"Number of patients before removal of hypermutators:"	"508"
"24"	"Number of patients with mutations after all filtering steps:"	"508"
"25"	"Number of genes across cohort that are mutated more than once in the same patient"	"2673"
"26"	"Genes are considered to be in a mutated or normal state, thus the final number of unique, mutated genes passed to the enrichment analysis is:"	"64535"
"27"	"After all filtering steps, distribution of mutation types in top 20 most mutated genes."	"./output/study_hnscc/results/somatic_mutation_aberration_summary/graphicstackedGeneBarPostUnknownRemoval.png"
"28"	"Mutation counts by patient, after all filtering, for data set used in pathway analysis"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/dataWorkUpNotesTable_28.txt"
"29"	"Summary statistics for mutations per patient after all filtering (data set used in pathway analysis)"	"Min.   :   1.0  1st Qu.:  58.0  Median :  90.0  Mean   : 127.0  3rd Qu.: 133.2  Max.   :2291.0  "
"30"	"Number of mutations in final, cleaned data set used for pathway enrichment"	"64535"
"31"	"Distributions of mutations before and after fitering"	"./output/study_hnscc/results/somatic_mutation_aberration_summary/graphicDistMutBeforeAferFilt.png"
