"types"	"counts"
"1"	"A1BG"	6
"2"	"A1CF"	8
"3"	"A2M"	7
"4"	"A2ML1"	8
"5"	"A4GALT"	1
"6"	"A4GNT"	4
"7"	"AAAS"	4
"8"	"AACS"	4
"9"	"AADAC"	4
"10"	"AADACL3"	2
"11"	"AADACL4"	5
"12"	"AADAT"	3
"13"	"AAGAB"	3
"14"	"AAK1"	4
"15"	"AANAT"	1
"16"	"AAR2"	3
"17"	"AARD"	1
"18"	"AARS"	1
"19"	"AARS2"	5
"20"	"AASDH"	5
"21"	"AASDHPPT"	4
"22"	"AASS"	2
"23"	"AATF"	3
"24"	"AATK"	3
"25"	"ABAT"	6
"26"	"ABCA1"	12
"27"	"ABCA10"	10
"28"	"ABCA12"	15
"29"	"ABCA13"	43
"30"	"ABCA2"	12
"31"	"ABCA3"	9
"32"	"ABCA4"	13
"33"	"ABCA5"	5
"34"	"ABCA6"	9
"35"	"ABCA7"	10
"36"	"ABCA8"	10
"37"	"ABCA9"	11
"38"	"ABCB1"	16
"39"	"ABCB11"	7
"40"	"ABCB4"	12
"41"	"ABCB5"	9
"42"	"ABCB6"	5
"43"	"ABCB7"	4
"44"	"ABCB8"	5
"45"	"ABCC1"	4
"46"	"ABCC10"	7
"47"	"ABCC11"	9
"48"	"ABCC12"	7
"49"	"ABCC2"	8
"50"	"ABCC3"	2
"51"	"ABCC4"	3
"52"	"ABCC5"	10
"53"	"ABCC6"	4
"54"	"ABCC8"	19
"55"	"ABCC9"	24
"56"	"ABCD1"	2
"57"	"ABCD2"	6
"58"	"ABCD3"	4
"59"	"ABCD4"	5
"60"	"ABCE1"	4
"61"	"ABCF1"	12
"62"	"ABCF2"	1
"63"	"ABCF3"	7
"64"	"ABCG1"	2
"65"	"ABCG2"	4
"66"	"ABCG4"	7
"67"	"ABCG8"	10
"68"	"ABHD1"	4
"69"	"ABHD10"	2
"70"	"ABHD11"	3
"71"	"ABHD12"	2
"72"	"ABHD14A"	1
"73"	"ABHD14A-ACY1"	3
"74"	"ABHD15"	3
"75"	"ABHD16A"	2
"76"	"ABHD16B"	2
"77"	"ABHD17B"	4
"78"	"ABHD17C"	1
"79"	"ABHD2"	2
"80"	"ABHD3"	2
"81"	"ABHD4"	1
