"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"5-Phosphoribose 1-diphosphate biosynthesis"	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	3	1	0.0177514792899408	9	9	5	2	0	0
"ABH2 mediated Reversal of Alkylation Damage"	"ABH2 mediated Reversal of Alkylation Damage"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"ABH3 mediated Reversal of Alkylation Damage"	"ABH3 mediated Reversal of Alkylation Damage"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"AKT-mediated inactivation of FOXO1A"	"AKT-mediated inactivation of FOXO1A"	4	4	4	1	0.0315581854043393	16	16	7	2	0	0
"AMPK inhibits chREBP transcriptional activation activity"	"AMPK inhibits chREBP transcriptional activation activity"	5	5	5	1	0.0216962524654832	11	11	4	1	0	0
"ATP sensitive Potassium channels"	"ATP sensitive Potassium channels"	4	4	4	1	0.0808678500986193	41	41	19	2	0	0
"Abacavir transmembrane transport"	"Abacavir transmembrane transport"	5	5	5	1	0.0512820512820513	26	26	15	1	0	0
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Abnormal metabolism in phenylketonuria"	"Abnormal metabolism in phenylketonuria"	4	4	4	1	0.0216962524654832	11	11	5	1	0	0
"Acrosome Reaction"	"Acrosome Reaction"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Activation and oligomerization of BAK protein"	"Activation and oligomerization of BAK protein"	2	2	2	1	0.00591715976331361	3	3	2	1	0	0
"Activation of AMPA receptors"	"Activation of AMPA receptors"	4	4	4	1	0.0848126232741617	43	45	15	8	0	0
"Activation of BIM and translocation to mitochondria"	"Activation of BIM and translocation to mitochondria"	3	3	3	1	0.00591715976331361	3	3	1	1	0	0
"Activation of Ca-permeable Kainate Receptor"	"Activation of Ca-permeable Kainate Receptor"	10	10	10	1	0.100591715976331	51	57	14	1	0	0
"Activation of Na-permeable Kainate Receptors"	"Activation of Na-permeable Kainate Receptors"	2	2	2	1	0.0394477317554241	20	20	14	6	0	0
"Activation of RAS in B cells"	"Activation of RAS in B cells"	5	5	5	1	0.0769230769230769	39	41	28	1	0	0
"Activation of TRKA receptors"	"Activation of TRKA receptors"	6	6	6	1	0.029585798816568	15	16	5	1	0	0
"Activation of the AP-1 family of transcription factors"	"Activation of the AP-1 family of transcription factors"	10	10	10	1	0.0532544378698225	27	29	8	1	0	0
"Activation, myristolyation of BID and translocation to mitochondria"	"Activation, myristolyation of BID and translocation to mitochondria"	4	4	4	1	0.0946745562130177	48	51	42	2	0	0
"Acyl chain remodeling of CL"	"Acyl chain remodeling of CL"	6	6	6	1	0.0315581854043393	16	17	5	2	0	0
"Adenosine P1 receptors"	"Adenosine P1 receptors"	4	4	4	1	0.0138067061143984	7	7	3	1	0	0
"Adenylate cyclase activating pathway"	"Adenylate cyclase activating pathway"	10	10	10	1	0.175542406311637	89	103	25	3	0	0
"Agmatine biosynthesis"	"Agmatine biosynthesis"	2	2	2	1	0.00591715976331361	3	3	2	1	0	0
"Alpha-oxidation of phytanate"	"Alpha-oxidation of phytanate"	4	4	4	1	0.0216962524654832	11	11	5	1	0	0
"Amino Acid conjugation"	"Amino Acid conjugation"	8	8	8	1	0.0788954635108481	40	44	11	1	0	0
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	2	2	2	1	0.00788954635108481	4	4	3	1	0	0
"Amplification of signal from the kinetochores"	"Amplification of signal from the kinetochores"	2	2	2	1	0.00788954635108481	4	4	3	1	0	0
"Anchoring fibril formation"	"Anchoring fibril formation"	7	7	7	1	0.0828402366863905	42	50	18	3	0	0
"Antagonism of Activin by Follistatin"	"Antagonism of Activin by Follistatin"	4	4	4	1	0.0138067061143984	7	7	2	1	0	0
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Assembly of the ORC complex at the origin of replication"	"Assembly of the ORC complex at the origin of replication"	6	6	6	1	0.0276134122287968	14	15	4	1	0	0
"Axonal growth inhibition (RHOA activation)"	"Axonal growth inhibition (RHOA activation)"	8	8	8	1	0.0690335305719921	35	38	9	1	0	0
"Axonal growth stimulation"	"Axonal growth stimulation"	4	4	4	1	0.0236686390532544	12	12	9	1	0	0
"Beta oxidation of butanoyl-CoA to acetyl-CoA"	"Beta oxidation of butanoyl-CoA to acetyl-CoA"	3	3	3	1	0.0118343195266272	6	6	3	1	0	0
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	5	5	5	1	0.0236686390532544	12	12	3	1	0	0
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	5	5	5	1	0.0216962524654832	11	11	3	1	0	0
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	5	5	5	1	0.0216962524654832	11	12	3	1	0	0
"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	3	3	3	1	0.0157790927021696	8	8	3	2	0	0
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	5	5	5	1	0.0236686390532544	12	12	3	1	0	0
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	3	3	3	1	0.0157790927021696	8	8	3	2	0	0
"Bicarbonate transporters"	"Bicarbonate transporters"	9	9	9	1	0.112426035502959	57	66	20	2	0	0
"Biosynthesis of A2E, implicated in retinal degradation"	"Biosynthesis of A2E, implicated in retinal degradation"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Biotin transport and metabolism"	"Biotin transport and metabolism"	11	11	11	1	0.110453648915187	56	60	17	1	0	0
"Breakdown of the nuclear lamina"	"Breakdown of the nuclear lamina"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"C6 deamination of adenosine"	"C6 deamination of adenosine"	2	2	2	1	0.0157790927021696	8	8	6	2	0	0
