"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"188"	"Signaling by FGFR"	162	162	47	0.290123456790123	162	162	152	0.938271604938272	0.753378378378378	223	1122	82	0	0.00167485312765603	0.0686646455174402
"347"	"Signaling by FGFR mutants"	45	45	9	0.2	45	45	44	0.977777777777778	0.625	185	480	82	0	0.0019930276799156	0.0814536385073593
"483"	"G-protein mediated events"	44	44	6	0.136363636363636	44	44	43	0.977272727272727	0.429054054054054	127	243	31	0	0.00228934156056315	0.0932723023074214
"631"	"Neuronal System"	280	280	24	0.0857142857142857	280	280	258	0.921428571428571	0.760135135135135	225	1739	86	0	0.00256529712177689	0.104190695960871
"475"	"PLC beta mediated events"	43	43	6	0.13953488372093	43	43	42	0.976744186046512	0.415540540540541	123	237	31	0	0.00262965845618424	0.10614547184971
"740"	"Voltage gated Potassium channels"	43	43	2	0.0465116279069767	43	43	42	0.976744186046512	0.442567567567568	131	269	42	0	0.00262965845618424	0.10614547184971
"734"	"Neurotransmitter Release Cycle"	42	42	2	0.0476190476190476	42	42	41	0.976190476190476	0.523648648648649	155	278	86	0	0.00302050522536423	0.121546754570814
"205"	"DAP12 signaling"	164	164	46	0.280487804878049	164	164	153	0.932926829268293	0.756756756756757	224	1130	82	0	0.00349874838770603	0.140359640784941
"269"	"Signaling by PDGF"	184	184	46	0.25	184	184	171	0.929347826086957	0.760135135135135	225	1256	82	0	0.00378200307968446	0.151211118157082
"182"	"Signaling by ERBB2"	163	163	48	0.294478527607362	163	163	152	0.932515337423313	0.763513513513513	226	1132	82	0	0.00379236763708346	0.151211118157082
"193"	"Downstream signal transduction"	161	161	46	0.285714285714286	161	161	150	0.93167701863354	0.75	222	1141	82	0	0.0044508213386506	0.176925894661255
"858"	"GABA receptor activation"	55	55	1	0.0181818181818182	55	55	53	0.963636363636364	0.425675675675676	126	263	31	0	0.00457473377269535	0.181300508522276
"181"	"Downstream signaling of activated FGFR"	149	149	44	0.295302013422819	149	149	139	0.932885906040268	0.743243243243243	220	1071	82	0	0.00498146739934857	0.196823266668169
"291"	"Signaling by Insulin receptor"	116	116	26	0.224137931034483	116	116	109	0.939655172413793	0.695945945945946	206	956	82	0	0.00508257039076143	0.200213083911994
"333"	"Phospholipase C-mediated cascade"	54	54	11	0.203703703703704	54	54	52	0.962962962962963	0.554054054054054	164	536	82	0	0.00517005446449015	0.203047675269454
"565"	"Cyclin D associated events in G1"	38	38	4	0.105263157894737	38	38	37	0.973684210526316	0.665540540540541	197	473	83	0	0.00525672859747117	0.20460837894054
"566"	"G1 Phase"	38	38	4	0.105263157894737	38	38	37	0.973684210526316	0.665540540540541	197	473	83	0	0.00525672859747117	0.20460837894054
"569"	"Transport of vitamins, nucleosides, and related molecules"	38	38	4	0.105263157894737	38	38	37	0.973684210526316	0.39527027027027	117	275	51	0	0.00525672859747117	0.20460837894054
"765"	"SLC-mediated transmembrane transport"	259	259	10	0.0386100386100386	259	259	238	0.918918918918919	0.716216216216216	212	1345	56	0	0.0053286628733944	0.206792831918712
"628"	"Opioid Signalling"	80	80	7	0.0875	80	80	76	0.95	0.581081081081081	172	491	59	0	0.00549187320514311	0.212496087573161
"139"	"Cyclin A:Cdk2-associated events at S phase entry"	66	66	22	0.333333333333333	66	66	63	0.954545454545455	0.527027027027027	156	329	55	0	0.0063181815718687	0.243747147005637
"247"	"Mitotic G1-G1/S phases"	135	135	36	0.266666666666667	135	135	126	0.933333333333333	0.810810810810811	240	966	83	0	0.00654213051376606	0.251644488932162
"813"	"Beta defensins"	36	36	1	0.0277777777777778	36	36	35	0.972222222222222	0.263513513513513	78	303	41	0	0.0069339795833101	0.265934888130434
"121"	"Cyclin E associated events during G1/S transition"	65	65	23	0.353846153846154	65	65	62	0.953846153846154	0.523648648648649	155	326	55	0	0.00706086458222965	0.270009418257978
"764"	"Regulation of insulin secretion"	77	77	3	0.038961038961039	77	77	73	0.948051948051948	0.567567567567568	168	480	59	0	0.00749784059377523	0.285883585114199
"272"	"Hedgehog 'off' state"	99	99	24	0.242424242424242	99	99	93	0.939393939393939	0.591216216216216	175	486	55	0	0.00857368948576998	0.325009302989543
"849"	"Potassium Channels"	99	99	2	0.0202020202020202	99	99	93	0.939393939393939	0.587837837837838	174	644	60	0	0.00857368948576998	0.325009302989543
"278"	"PLCG1 events in ERBB2 signaling"	34	34	8	0.235294117647059	34	34	33	0.970588235294118	0.445945945945946	132	219	32	0	0.0091456715815923	0.345689859383584
"869"	"Mitochondrial translation elongation"	86	86	1	0.0116279069767442	86	86	81	0.941860465116279	0.584459459459459	173	567	58	0	0.00995918888232783	0.375354503704239
"591"	"Signal Transduction"	2062	2062	209	0.101357904946654	2062	2062	1826	0.885548011639185	0.939189189189189	278	10774	82	0	0.0102220941030848	0.384156129916001
"312"	"E2F mediated regulation of DNA replication"	33	33	7	0.212121212121212	33	33	32	0.96969696969697	0.402027027027027	119	189	18	0	0.0105031458096945	0.391344662534572
