"Number of paths"	"Path names"
"GJA1"	8	"Formation of annular gap junctions | Gap junction assembly | Gap junction degradation | Gap junction trafficking | Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane | Oligomerization of connexins into connexons | Transport of connexins along the secretory pathway | Transport of connexons to the plasma membrane"
"ACSM2B"	5	"Amino Acid conjugation | Conjugation of benzoate with glycine | Conjugation of carboxylic acids | Conjugation of phenylacetate with glutamine | Conjugation of salicylate with glycine"
"GJB2"	5	"Gap junction assembly | Gap junction trafficking | Oligomerization of connexins into connexons | Transport of connexins along the secretory pathway | Transport of connexons to the plasma membrane"
"NOTCH1"	4	"NICD traffics to nucleus | Notch-HLH transcription pathway | Pre-NOTCH Processing in the Endoplasmic Reticulum | Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"ABCD1"	4	"Beta-oxidation of very long chain fatty acids | Linoleic acid (LA) metabolism | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ATM"	4	"ATM mediated phosphorylation of repair proteins | ATM mediated response to DNA double-strand break | Fanconi Anemia pathway | Regulation of the Fanconi anemia pathway"
"H2AFX"	4	"ATM mediated phosphorylation of repair proteins | ATM mediated response to DNA double-strand break | Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks | MRN complex relocalizes to nuclear foci"
"NBN"	4	"ATM mediated phosphorylation of repair proteins | ATM mediated response to DNA double-strand break | Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks | MRN complex relocalizes to nuclear foci"
"DNM2"	4	"Formation of annular gap junctions | Gap junction degradation | Gap junction trafficking | NOSTRIN mediated eNOS trafficking"
"ACSM1"	4	"Amino Acid conjugation | Conjugation of benzoate with glycine | Conjugation of carboxylic acids | Conjugation of phenylacetate with glutamine"
"GLYAT"	4	"Amino Acid conjugation | Conjugation of benzoate with glycine | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"GLYATL1"	4	"Amino Acid conjugation | Conjugation of benzoate with glycine | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"GLYATL2"	4	"Amino Acid conjugation | Conjugation of benzoate with glycine | Conjugation of carboxylic acids | Conjugation of salicylate with glycine"
"ACOT8"	4	"Beta-oxidation of pristanoyl-CoA | Beta-oxidation of very long chain fatty acids | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"HSD17B4"	4	"Beta-oxidation of pristanoyl-CoA | Beta-oxidation of very long chain fatty acids | alpha-linolenic (omega3) and linoleic (omega6) acid metabolism | alpha-linolenic acid (ALA) metabolism"
"ADAR"	4	"C6 deamination of adenosine | Formation of editosomes by ADAR proteins | mRNA Editing | mRNA Editing: A to I Conversion"
"ADARB1"	4	"C6 deamination of adenosine | Formation of editosomes by ADAR proteins | mRNA Editing | mRNA Editing: A to I Conversion"
