"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"2-LTR circle formation"	"BANF1 HMGA1 LIG4 PSIP1 XRCC4 XRCC5"
"3' -UTR-mediated translational regulation"	"EIF1AX EIF2S1 EIF2S2 EIF2S3 EIF3A EIF3B EIF3C EIF3D EIF3E EIF3F EIF3G EIF3H EIF3I EIF3K EIF4A1 EIF4A2 EIF4B EIF4G1 EIF4H FAU PABPC1 RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52"
"5-Phosphoribose 1-diphosphate biosynthesis"	"PRPS1 PRPS1L1 PRPS2"
"A tetrasaccharide linker sequence is required for GAG synthesis"	"AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN"
"A third proteolytic cleavage releases NICD"	"APH1A NCSTN NOTCH1 NOTCH2 NOTCH3 NOTCH4 PSEN2 PSENEN"
"ABC-family proteins mediated transport"	"ABCA10 ABCA12 ABCA2 ABCA3 ABCA4 ABCA6 ABCA7 ABCA8 ABCA9 ABCB1 ABCB10 ABCB5 ABCB6 ABCB7 ABCB8 ABCC1 ABCC10 ABCC11 ABCC3 ABCC4 ABCC5 ABCC6 ABCC8 ABCC9 ABCD1 ABCD3 ABCG1 ABCG4 ABCG5 ABCG8 APOA1 CFTR PEX19 PEX3"
"ABCA transporters in lipid homeostasis"	"ABCA10 ABCA12 ABCA2 ABCA3 ABCA6 ABCA7 ABCA9 ABCD1 ABCD3 ABCG1 ABCG4 ABCG5 ABCG8 APOA1 PEX19 PEX3"
"ABH2 mediated Reversal of Alkylation Damage"	"ALKBH2"
"ABH3 mediated Reversal of Alkylation Damage"	"ALKBH3"
"ADP signalling through P2Y purinoceptor 1"	"GNA11 GNA14 GNA15 GNAQ GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 MAPK14 P2RY1 PLA2G4A SRC"
"ADP signalling through P2Y purinoceptor 12"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 GNAI3 GNAT3 P2RY12"
"AKT phosphorylates targets in the cytosol"	"AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2"
"AKT phosphorylates targets in the nucleus"	"AKT1 AKT2 AKT3 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2"
"AKT-mediated inactivation of FOXO1A"	"AKT1 AKT2 AKT3 FOXO1"
"AMER1 mutants destabilize the destruction complex"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"AMPK inhibits chREBP transcriptional activation activity"	"MLXIPL PRKAA2 PRKAB2 PRKAG2 STK11"
"APC truncation mutants are not K63 polyubiquitinated"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"APC truncation mutants have impaired AXIN binding"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"APC-Cdc20 mediated degradation of Nek2A"	"RPS27A UBA52 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBE2C UBE2D1 UBE2E1"
"APC/C-mediated degradation of cell cycle proteins"	"RPS27A UBA52 CUL1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBE2C UBE2D1 UBE2E1 CCNA1 CCNA2 CCNB1 CDC14A CDK1 CDK2 FZR1 PLK1 PTTG1 SKP2"
"APC/C:Cdc20 mediated degradation of Cyclin B"	"RPS27A UBA52 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 CDC16 CDC20 CDC23 CDC26 CDC27 UBE2C UBE2D1 UBE2E1 CCNB1 CDK1"
"APC/C:Cdc20 mediated degradation of Securin"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 CDC16 CDC20 CDC23 CDC26 CDC27 UBE2C UBE2D1 UBE2E1 PTTG1"
"APC/C:Cdc20 mediated degradation of mitotic proteins"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBE2C UBE2D1 UBE2E1 CCNA1 CCNA2 CCNB1 CDK1 PTTG1"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 CDC16 CDC20 CDC23 CDC26 CDC27 UBE2C UBE2D1 UBE2E1 FZR1 PLK1 PTTG1 SKP2"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 BUB3 CDC16 CDC20 CDC23 CDC26 CDC27 MAD2L1 NEK2 UBE2C UBE2D1 UBE2E1 CCNA1 CCNA2 CDK1"
"APOBEC3G mediated resistance to HIV-1 infection"	"BANF1 HMGA1 PSIP1 PPIA"
"ARL13B-mediated ciliary trafficking of INPP5E"	"ARL13B INPP5E PDE6D"
"ARMS-mediated activation"	"CDK1 BRAF HRAS IL6 IL6R IL6ST JAK1 JAK2 KRAS MAP2K2 MAPK1 MAPK3 NGF NRAS NTRK1 RAF1 RAP1A TYK2 YWHAB"
"ATF4 activates genes"	"ASNS ATF3 ATF6 DCP2 DDIT3 DIS3 EXOSC2 EXOSC3 EXOSC4 EXOSC6 EXOSC7 EXOSC8 EXOSC9 HERPUD1 IGFBP1 KHSRP NFYA NFYC PARN"
"ATF6-alpha activates chaperone genes"	"ATF6 DDIT3 NFYA NFYC CALR HSPA5 XBP1"
"ATF6-alpha activates chaperones"	"ATF6 DDIT3 NFYA NFYC CALR HSPA5 XBP1 MBTPS1 MBTPS2"
"ATM mediated phosphorylation of repair proteins"	"ATM BRCA1 H2AFX MDC1 NBN"
"ATM mediated response to DNA double-strand break"	"ATM BRCA1 H2AFX MDC1 NBN"
"ATP sensitive Potassium channels"	"ABCC8 ABCC9 KCNJ11 KCNJ8"
"AUF1 (hnRNP D0) destabilizes mRNA"	"EIF4G1 PABPC1 RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC HNRNPD HSPA1A HSPA8 HSPB1"
"AXIN missense mutants destabilize the destruction complex"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"AXIN mutants destabilize the destruction complex, activating WNT signaling"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"Abacavir metabolism"	"GUK1 PCK1"
"Abacavir transmembrane transport"	"ABCB1 ABCG2 SLC22A1 SLC22A2 SLC22A3"
"Abacavir transport and metabolism"	"ABCB1 GUK1 PCK1 ABCG2 SLC22A1 SLC22A2 SLC22A3"
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"IDH1"
"Abnormal metabolism in phenylketonuria"	"CCBL1 IL4I1 LDHB PAH"
"Abortive elongation of HIV-1 transcript in the absence of Tat"	"CTDP1 GTF2F1 GTF2F2 NCBP1 NCBP2 NELFA NELFB NELFE POLR2A POLR2B POLR2C POLR2E POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L SUPT4H1 SUPT5H"
"Acetylation"	"NAT1 NAT2"
