"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"5-Phosphoribose 1-diphosphate biosynthesis"	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	3	1	0.0709459459459459	21	23	12	5	0	0
"ABH2 mediated Reversal of Alkylation Damage"	"ABH2 mediated Reversal of Alkylation Damage"	1	1	1	1	0.00337837837837838	1	1	1	1	0	0
"ABH3 mediated Reversal of Alkylation Damage"	"ABH3 mediated Reversal of Alkylation Damage"	1	1	1	1	0.027027027027027	8	8	8	8	0	0
"AKT phosphorylates targets in the nucleus"	"AKT phosphorylates targets in the nucleus"	9	9	9	1	0.165540540540541	49	53	22	1	0	0
"AKT-mediated inactivation of FOXO1A"	"AKT-mediated inactivation of FOXO1A"	4	4	4	1	0.0608108108108108	18	19	8	2	0	0
"AMPK inhibits chREBP transcriptional activation activity"	"AMPK inhibits chREBP transcriptional activation activity"	5	5	5	1	0.0675675675675676	20	23	6	2	0	0
"ARL13B-mediated ciliary trafficking of INPP5E"	"ARL13B-mediated ciliary trafficking of INPP5E"	3	3	3	1	0.0641891891891892	19	19	8	3	0	0
"ATM mediated phosphorylation of repair proteins"	"ATM mediated phosphorylation of repair proteins"	5	5	5	1	0.0777027027027027	23	28	12	2	0	0
"ATM mediated response to DNA double-strand break"	"ATM mediated response to DNA double-strand break"	5	5	5	1	0.0777027027027027	23	28	12	2	0	0
"ATP sensitive Potassium channels"	"ATP sensitive Potassium channels"	4	4	4	1	0.0202702702702703	6	12	4	2	0	0
"Abacavir transmembrane transport"	"Abacavir transmembrane transport"	5	5	5	1	0.0540540540540541	16	18	13	1	0	0
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	1	1	1	1	0.0168918918918919	5	5	5	5	0	0
"Abnormal metabolism in phenylketonuria"	"Abnormal metabolism in phenylketonuria"	4	4	4	1	0.0337837837837838	10	11	5	1	0	0
"Acetylation"	"Acetylation"	2	2	2	1	0.0337837837837838	10	20	10	10	0	0
"Activation and oligomerization of BAK protein"	"Activation and oligomerization of BAK protein"	2	2	2	1	0.0337837837837838	10	10	7	3	0	0
"Activation of AMPA receptors"	"Activation of AMPA receptors"	4	4	4	1	0.0641891891891892	19	20	9	1	0	0
"Activation of BIM and translocation to mitochondria"	"Activation of BIM and translocation to mitochondria"	3	3	3	1	0.0168918918918919	5	5	3	1	0	0
"Activation of C3 and C5"	"Activation of C3 and C5"	6	6	6	1	0.0439189189189189	13	28	6	2	0	0
"Activation of CaMK IV"	"Activation of CaMK IV"	2	2	2	1	0.0304054054054054	9	9	6	3	0	0
"Activation of NOXA and translocation to mitochondria"	"Activation of NOXA and translocation to mitochondria"	4	4	4	1	0.121621621621622	36	37	13	2	0	0
"Activation of PKB"	"Activation of PKB"	4	4	4	1	0.0405405405405405	12	12	6	1	0	0
"Activation of TRKA receptors"	"Activation of TRKA receptors"	6	6	6	1	0.131756756756757	39	44	18	3	0	0
"Activation, myristolyation of BID and translocation to mitochondria"	"Activation, myristolyation of BID and translocation to mitochondria"	4	4	4	1	0.0675675675675676	20	22	9	1	0	0
"Activation, translocation and oligomerization of BAX"	"Activation, translocation and oligomerization of BAX"	2	2	2	1	0.027027027027027	8	8	7	1	0	0
"Adenosine P1 receptors"	"Adenosine P1 receptors"	4	4	4	1	0.0472972972972973	14	14	4	2	0	0
"Adenylate cyclase activating pathway"	"Adenylate cyclase activating pathway"	10	10	10	1	0.233108108108108	69	83	31	1	0	0
"Adenylate cyclase inhibitory pathway"	"Adenylate cyclase inhibitory pathway"	14	14	14	1	0.253378378378378	75	105	31	1	0	0
"Adrenaline signalling through Alpha-2 adrenergic receptor"	"Adrenaline signalling through Alpha-2 adrenergic receptor"	3	3	3	1	0.027027027027027	8	8	4	2	0	0
"Adrenoceptors"	"Adrenoceptors"	9	9	9	1	0.135135135135135	40	50	28	1	0	0
"Alternative complement activation"	"Alternative complement activation"	4	4	4	1	0.027027027027027	8	13	5	2	0	0
"Amine Oxidase reactions"	"Amine Oxidase reactions"	4	4	4	1	0.0608108108108108	18	33	15	1	0	0
"Amino Acid conjugation"	"Amino Acid conjugation"	8	8	8	1	0.0405405405405405	12	23	6	1	0	0
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	2	2	2	1	0.0304054054054054	9	9	8	1	0	0
"Amplification of signal from the kinetochores"	"Amplification of signal from the kinetochores"	2	2	2	1	0.0304054054054054	9	9	8	1	0	0
"Antagonism of Activin by Follistatin"	"Antagonism of Activin by Follistatin"	4	4	4	1	0.0337837837837838	10	10	4	1	0	0
"Apoptotic cleavage of cell adhesion  proteins"	"Apoptotic cleavage of cell adhesion  proteins"	11	11	11	1	0.10472972972973	31	42	8	1	0	0
"Arachidonate production from DAG"	"Arachidonate production from DAG"	3	3	3	1	0.0675675675675676	20	20	10	4	0	0
"Assembly of the ORC complex at the origin of replication"	"Assembly of the ORC complex at the origin of replication"	6	6	6	1	0.0945945945945946	28	30	14	1	0	0
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	4	4	4	1	0.0709459459459459	21	27	12	2	0	0
"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	4	4	4	1	0.10472972972973	31	32	15	3	0	0
"Axonal growth stimulation"	"Axonal growth stimulation"	4	4	4	1	0.0506756756756757	15	15	9	1	0	0
"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	"Beta oxidation of myristoyl-CoA to lauroyl-CoA"	3	3	3	1	0.0236486486486486	7	9	5	2	0	0
"Beta-oxidation of pristanoyl-CoA"	"Beta-oxidation of pristanoyl-CoA"	8	8	8	1	0.141891891891892	42	44	15	1	0	0
"Beta-oxidation of very long chain fatty acids"	"Beta-oxidation of very long chain fatty acids"	6	6	6	1	0.0777027027027027	23	24	10	2	0	0
"Bicarbonate transporters"	"Bicarbonate transporters"	9	9	9	1	0.0675675675675676	20	24	7	1	0	0
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"	2	2	2	1	0.0506756756756757	15	30	15	15	0	0
