"types"	"counts"
"1"	"A1BG"	2
"2"	"A1BG-AS1"	2
"3"	"A1CF"	3
"4"	"A2M"	7
"5"	"A2ML1"	7
"6"	"A2MP1"	7
"7"	"A4GNT"	31
"8"	"AA06"	1
"9"	"AAA1"	2
"10"	"AAAS"	2
"11"	"AACS"	3
"12"	"AACSP1"	2
"13"	"AADAC"	44
"14"	"AADACL2"	44
"15"	"AADACL3"	1
"16"	"AADACL4"	1
"17"	"AADAT"	3
"18"	"AAK1"	2
"19"	"AAMP"	5
"20"	"AANAT"	1
"21"	"AAR2"	5
"22"	"AARD"	23
"23"	"AARS"	3
"24"	"AARS2"	6
"25"	"AARSD1"	1
"26"	"AASDH"	2
"27"	"AASDHPPT"	8
"28"	"AASS"	4
"29"	"AATF"	2
"30"	"AATK"	3
"31"	"AATK-AS1"	2
"32"	"ABAT"	2
"33"	"ABCA1"	5
"34"	"ABCA10"	1
"35"	"ABCA11P"	9
"36"	"ABCA12"	5
"37"	"ABCA13"	9
"38"	"ABCA17P"	1
"39"	"ABCA2"	5
"40"	"ABCA3"	1
"41"	"ABCA4"	1
"42"	"ABCA5"	1
"43"	"ABCA6"	1
"44"	"ABCA7"	3
"45"	"ABCA8"	1
"46"	"ABCA9"	1
"47"	"ABCB1"	13
"48"	"ABCB10"	4
"49"	"ABCB11"	6
"50"	"ABCB4"	12
"51"	"ABCB5"	6
"52"	"ABCB6"	5
"53"	"ABCB7"	3
"54"	"ABCB8"	7
"55"	"ABCB9"	1
"56"	"ABCC1"	1
"57"	"ABCC10"	6
"58"	"ABCC11"	4
"59"	"ABCC12"	4
"60"	"ABCC13"	7
"61"	"ABCC3"	2
"62"	"ABCC4"	4
"63"	"ABCC5"	60
"64"	"ABCC6"	1
"65"	"ABCC6P1"	1
"66"	"ABCC6P2"	1
"67"	"ABCC8"	2
"68"	"ABCC9"	4
"69"	"ABCD1"	10
"70"	"ABCD3"	1
"71"	"ABCD4"	4
"72"	"ABCE1"	1
"73"	"ABCF1"	5
"74"	"ABCF2"	7
"75"	"ABCF3"	56
"76"	"ABCG1"	1
"77"	"ABCG2"	2
"78"	"ABCG4"	3
"79"	"ABCG5"	2
"80"	"ABCG8"	2
"81"	"ABHD1"	2
"82"	"ABHD10"	9
"83"	"ABHD11"	5
"84"	"ABHD11-AS1"	5
"85"	"ABHD12"	3
"86"	"ABHD12B"	5
"87"	"ABHD13"	4
"88"	"ABHD14A"	2
"89"	"ABHD14A-ACY1"	2
"90"	"ABHD14B"	2
"91"	"ABHD16A"	5
"92"	"ABHD16B"	1
"93"	"ABHD17A"	3
"94"	"ABHD17B"	4
"95"	"ABHD17C"	3
"96"	"ABHD2"	2
"97"	"ABHD3"	5
"98"	"ABHD4"	4
"99"	"ABHD5"	2
"100"	"ABHD6"	3
"101"	"ABHD8"	1
"102"	"ABI1"	3
"103"	"ABI2"	9
"104"	"ABI3"	2
"105"	"ABI3BP"	8
"106"	"ABL1"	5
"107"	"ABL2"	4
"108"	"ABLIM1"	2
"109"	"ABLIM2"	4
"110"	"ABLIM3"	1
"111"	"ABO"	5
"112"	"ABP1"	7
"113"	"ABRA"	18
"114"	"ABRACL"	4
"115"	"ABT1"	2
"116"	"ABTB1"	10
"117"	"ABTB2"	8
"118"	"ACAA1"	3
"119"	"ACAA2"	5
"120"	"ACACA"	1
"121"	"ACACB"	1
"122"	"ACAD11"	20
"123"	"ACAD8"	5
"124"	"ACAD9"	11
"125"	"ACADL"	5
"126"	"ACADM"	3
"127"	"ACADSB"	2
"128"	"ACAN"	3
"129"	"ACAP2"	52
"130"	"ACAP3"	2
"131"	"ACAT1"	6
"132"	"ACAT2"	1
"133"	"ACBD3"	3
"134"	"ACBD4"	1
"135"	"ACBD5"	2
"136"	"ACBD6"	4
"137"	"ACBD7"	1
"138"	"ACCN3"	7
"139"	"ACCS"	8
"140"	"ACCSL"	8
"141"	"ACD"	3
"142"	"ACE"	2
"143"	"ACE2"	14
"144"	"ACER1"	2
"145"	"ACER2"	10
"146"	"ACER3"	17
"147"	"ACHE"	16
"148"	"ACIN1"	4
"149"	"ACLY"	2
"150"	"ACN9"	16
"151"	"ACO1"	12
"152"	"ACOT1"	3
"153"	"ACOT11"	1
"154"	"ACOT12"	1
"155"	"ACOT13"	3
"156"	"ACOT2"	3
"157"	"ACOT4"	3
"158"	"ACOT6"	3
"159"	"ACOT7"	1
"160"	"ACOT8"	2
"161"	"ACOT9"	14
"162"	"ACOX1"	2
"163"	"ACOX2"	3
"164"	"ACOX3"	4
"165"	"ACOXL"	1
"166"	"ACP2"	5
"167"	"ACP5"	6
"168"	"ACP6"	6
"169"	"ACPL2"	32
"170"	"ACPP"	20
"171"	"ACPT"	1
"172"	"ACRBP"	7
"173"	"ACRC"	3
"174"	"ACRV1"	6
"175"	"ACSBG1"	1
"176"	"ACSBG2"	2
"177"	"ACSF2"	1
"178"	"ACSF3"	4
"179"	"ACSL1"	8
"180"	"ACSL3"	5
"181"	"ACSL4"	5
"182"	"ACSL5"	2
"183"	"ACSL6"	3
"184"	"ACSM1"	1
"185"	"ACSM2A"	1
"186"	"ACSM2B"	1
"187"	"ACSM3"	1
"188"	"ACSM4"	6
"189"	"ACSM5"	1
"190"	"ACSS1"	4
"191"	"ACSS2"	8
"192"	"ACSS3"	1
"193"	"ACTA1"	4
"194"	"ACTA2"	2
"195"	"ACTB"	7
"196"	"ACTBL2"	5
"197"	"ACTC1"	1
"198"	"ACTG1"	3
