"path number"	"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"1"	1	"Signaling by FGFR1 amplification mutants"	1	1	1	1	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"2"	2	"Signaling by FGFR2 amplification mutants"	1	1	1	1	1	1	1	1	0.0169491525423729	2	2	2	2	0	0
"3"	3	"Signaling by FGFR4 mutants"	1	1	1	1	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"4"	4	"t(4;14) translocations of FGFR3"	1	1	1	1	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"5"	5	"Inhibition of HSL"	2	2	1	0.5	2	2	2	1	0.0254237288135593	3	3	2	1	0	0
"6"	6	"Inhibition of Signaling by Overexpressed EGFR"	2	2	1	0.5	2	2	2	1	0.0338983050847458	4	5	3	2	0	0
"7"	7	"Neurophilin interactions with VEGF and VEGFR"	4	4	2	0.5	4	4	4	1	0.0593220338983051	7	7	4	1	0	0
"8"	8	"PDE3B signalling"	2	2	1	0.5	2	2	2	1	0.0254237288135593	3	3	2	1	0	0
"9"	9	"FGFR1c and Klotho ligand binding and activation"	3	3	1	0.333333333333333	3	3	3	1	0.0423728813559322	5	5	2	1	0	0
"10"	10	"Apoptotic cleavage of cellular proteins"	38	38	8	0.210526315789474	38	38	28	0.736842105263158	0.389830508474576	46	62	12	0	1.14730223665926e-05	0.00347920460449755
"11"	11	"Disinhibition of SNARE formation"	5	5	1	0.2	5	5	5	1	0.0423728813559322	5	5	1	1	0	0
"12"	12	"L1CAM interactions"	97	97	19	0.195876288659794	97	97	65	0.670103092783505	0.644067796610169	76	142	10	0	7.53649553875135e-08	2.75598287888695e-05
"13"	13	"Axon guidance"	327	327	63	0.192660550458716	327	327	182	0.556574923547401	0.906779661016949	107	432	10	0	3.0590358246485e-08	1.18855852298849e-05
"14"	14	"Nephrin interactions"	22	22	4	0.181818181818182	22	22	17	0.772727272727273	0.338983050847458	40	51	20	0	0.000118997468092186	0.0284524954965598
"15"	15	"Developmental Biology"	519	519	87	0.167630057803468	519	519	266	0.51252408477842	0.932203389830508	110	594	23	0	7.80623709784045e-07	0.000262316735979459
"16"	16	"Cell-Cell communication"	130	130	17	0.130769230769231	130	130	73	0.561538461538462	0.73728813559322	87	187	20	0	0.000201565797735892	0.0455659194500601
"17"	17	"Signal Transduction"	2062	2062	209	0.101357904946654	2062	2062	921	0.446653734238603	0.991525423728814	117	1650	87	0	0.000106465095389696	0.0259551209696314
"18"	18	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	1	0.0833333333333333	12	12	11	0.916666666666667	0.279661016949153	33	38	12	0	2.39927992891076e-05	0.00677975859538808
"19"	19	"Extracellular matrix organization"	266	266	14	0.0526315789473684	266	266	151	0.567669172932331	0.830508474576271	98	340	10	0	7.81223136181453e-08	2.77519202061188e-05
"20"	20	"Transmembrane transport of small molecules"	618	618	32	0.0517799352750809	618	618	309	0.5	0.932203389830508	110	536	13	0	1.92936541421052e-06	0.000631272511228393
"21"	21	"ECM proteoglycans"	55	55	2	0.0363636363636364	55	55	37	0.672727272727273	0.440677966101695	52	84	10	0	2.62557298631449e-05	0.00725433433886876
"22"	22	"Interaction between L1 and Ankyrins"	29	29	1	0.0344827586206897	29	29	22	0.758620689655172	0.389830508474576	46	68	9	0	3.25479352601965e-05	0.0087973444721372
"23"	23	"Adherens junctions interactions"	30	30	1	0.0333333333333333	30	30	25	0.833333333333333	0.372881355932203	44	58	10	0	3.47258990784916e-07	0.000119932526845693
"24"	24	"Stimuli-sensing channels"	98	98	3	0.0306122448979592	98	98	66	0.673469387755102	0.559322033898305	66	128	13	0	4.47976020723218e-08	1.68782266180716e-05
"25"	25	"Ion channel transport"	167	167	5	0.029940119760479	167	167	107	0.640718562874252	0.694915254237288	82	208	13	0	5.91829252272191e-10	2.37367206768451e-07
"26"	26	"Collagen formation"	86	86	2	0.0232558139534884	86	86	52	0.604651162790698	0.567796610169492	67	133	10	0	0.000101604203099792	0.0252654859349142
"27"	27	"Rho GTPase cycle"	121	121	1	0.00826446280991736	121	121	70	0.578512396694215	0.525423728813559	62	128	6	0	7.36702942643053e-05	0.0186931422324081
"28"	28	"Signaling by Rho GTPases"	121	121	1	0.00826446280991736	121	121	70	0.578512396694215	0.525423728813559	62	128	6	0	7.36702942643053e-05	0.0186931422324081
