"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"405"	"p130Cas linkage to MAPK signaling for integrins"	15	15	3	0.2	15	15	12	0.8	0.203389830508475	24	28	6	0	0.000396607883668687	0.0865112272503199
"787"	"Generic Transcription Pathway"	483	483	26	0.0538302277432712	483	483	234	0.484472049689441	0.855932203389831	101	393	23	0	0.000408809582490122	0.0876352963123073
"704"	"Neuronal System"	280	280	24	0.0857142857142857	280	280	142	0.507142857142857	0.771186440677966	91	253	7	0	0.000459109885511122	0.0967499208299931
"889"	"Integrin cell surface interactions"	66	66	2	0.0303030303030303	66	66	40	0.606060606060606	0.457627118644068	54	74	6	0	0.000478383241993896	0.0991312752766112
"829"	"NRAGE signals death through JNK"	45	45	2	0.0444444444444444	45	45	29	0.644444444444444	0.330508474576271	39	60	6	0	0.000491712548494228	0.100223010167481
"139"	"Transport of organic anions"	11	11	4	0.363636363636364	11	11	9	0.818181818181818	0.0932203389830508	11	12	3	0	0.000974141862406963	0.182258591824738
"434"	"Apoptotic execution  phase"	52	52	9	0.173076923076923	52	52	32	0.615384615384615	0.423728813559322	50	69	12	0	0.000982147752776941	0.182258591824738
"849"	"Assembly of collagen fibrils and other multimeric structures"	54	54	2	0.037037037037037	54	54	33	0.611111111111111	0.466101694915254	55	89	10	0	0.00101454610951568	0.185502113899601
"66"	"Sema3A PAK dependent Axon repulsion"	16	16	7	0.4375	16	16	12	0.75	0.203389830508475	24	28	6	0	0.00131205671319168	0.234247623127175
"539"	"PLC beta mediated events"	43	43	6	0.13953488372093	43	43	27	0.627906976744186	0.338983050847458	40	50	7	0	0.00131882523027804	0.234247623127175
"707"	"ABC-family proteins mediated transport"	36	36	3	0.0833333333333333	36	36	23	0.638888888888889	0.296610169491525	35	45	5	0	0.00179469193344572	0.299912946881152
"548"	"G-protein mediated events"	44	44	6	0.136363636363636	44	44	27	0.613636363636364	0.338983050847458	40	50	7	0	0.00221014624849569	0.331076919786898
"329"	"NCAM signaling for neurite out-growth"	70	70	16	0.228571428571429	70	70	40	0.571428571428571	0.474576271186441	56	90	7	0	0.00247924106693154	0.360088166636286
"314"	"Signalling by NGF"	287	287	69	0.240418118466899	287	287	141	0.491289198606272	0.771186440677966	91	280	20	0	0.00250341473953197	0.360088166636286
"867"	"Cell-cell junction organization"	60	60	2	0.0333333333333333	60	60	35	0.583333333333333	0.440677966101695	52	72	10	0	0.00251966101428369	0.360088166636286
"283"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	4	0.266666666666667	15	15	11	0.733333333333333	0.194915254237288	23	26	6	0	0.00261984075536725	0.370150386908225
"359"	"EGFR interacts with phospholipase C-gamma"	33	33	7	0.212121212121212	33	33	21	0.636363636363636	0.322033898305085	38	45	7	0	0.00277622826702795	0.387838707702472
"857"	"Cell junction organization"	85	85	3	0.0352941176470588	85	85	47	0.552941176470588	0.525423728813559	62	109	10	0	0.00315240023493857	0.43549665907923
"587"	"p75 NTR receptor-mediated signalling"	83	83	10	0.120481927710843	83	83	46	0.55421686746988	0.432203389830508	51	87	6	0	0.00321599629176206	0.439400081244595
"134"	"EPHB-mediated forward signaling"	41	41	15	0.365853658536585	41	41	25	0.609756097560976	0.347457627118644	41	52	7	0	0.00338521010312465	0.457492297893412
"334"	"Semaphorin interactions"	67	67	15	0.223880597014925	67	67	38	0.567164179104478	0.449152542372881	53	90	7	0	0.00364378130340626	0.4768861215872
"936"	"GABA receptor activation"	55	55	1	0.0181818181818182	55	55	32	0.581818181818182	0.347457627118644	41	59	7	0	0.00375655355944726	0.486524077746712
"310"	"Signaling by PDGF"	184	184	46	0.25	184	184	93	0.505434782608696	0.73728813559322	87	206	20	0	0.0040378484592547	0.517564246431894
"363"	"Signaling by FGFR1 fusion mutants"	19	19	4	0.210526315789474	19	19	13	0.684210526315789	0.347457627118644	41	44	20	0	0.00426587835534209	0.54104126804688
"871"	"Molecules associated with elastic fibres"	30	30	1	0.0333333333333333	30	30	19	0.633333333333333	0.220338983050847	26	29	5	0	0.00430803874941177	0.54104126804688
"23"	"EPHA-mediated growth cone collapse"	34	34	18	0.529411764705882	34	34	21	0.617647058823529	0.38135593220339	45	63	8	0	0.00482483211306817	0.58241287523799
"319"	"PLCG1 events in ERBB2 signaling"	34	34	8	0.235294117647059	34	34	21	0.617647058823529	0.322033898305085	38	45	7	0	0.00482483211306817	0.58241287523799
"738"	"Mitotic Telophase/Cytokinesis"	14	14	1	0.0714285714285714	14	14	10	0.714285714285714	0.177966101694915	21	22	7	0	0.00515986836523907	0.60522762537091
"590"	"Non-integrin membrane-ECM interactions"	42	42	5	0.119047619047619	42	42	25	0.595238095238095	0.338983050847458	40	62	10	0	0.00543277993189251	0.625438114221025
