"Number of paths"	"Path names"
"ADAR"	3	"C6 deamination of adenosine | Formation of editosomes by ADAR proteins | mRNA Editing: A to I Conversion"
"ADARB1"	3	"C6 deamination of adenosine | Formation of editosomes by ADAR proteins | mRNA Editing: A to I Conversion"
"IDH1"	2	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate | NADPH regeneration"
"COL18A1"	2	"Laminin interactions | Collagen biosynthesis and modifying enzymes"
"ITGB1"	2	"Other semaphorin interactions | Laminin interactions"
"PLCG2"	2	"PLC-mediated hydrolysis of PIP2 | Synthesis of IP3 and IP4 in the cytosol"
"ACSM1"	2	"Conjugation of benzoate with glycine | Conjugation of phenylacetate with glutamine"
"ACSM2B"	2	"Conjugation of benzoate with glycine | Conjugation of phenylacetate with glutamine"
"ITGA1"	2	"Other semaphorin interactions | Laminin interactions"
"SEMA5A"	2	"Other semaphorin interactions | O-glycosylation of TSR domain-containing proteins"
"ADAMTS14"	2	"O-glycosylation of TSR domain-containing proteins | Collagen biosynthesis and modifying enzymes"
"ADAMTS2"	2	"O-glycosylation of TSR domain-containing proteins | Collagen biosynthesis and modifying enzymes"
"ADAMTS3"	2	"O-glycosylation of TSR domain-containing proteins | Collagen biosynthesis and modifying enzymes"
"ATP2A1"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2A2"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2A3"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2B1"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2B2"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2B3"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"ATP2B4"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"SLC8A1"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"SLC8A2"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"SLC8A3"	2	"Reduction of cytosolic Ca++ levels | Platelet calcium homeostasis"
"HSPG2"	1	"Laminin interactions"
"ABCC5"	1	"Hyaluronan biosynthesis and export"
"ALKBH3"	1	"ABH3 mediated Reversal of Alkylation Damage"
"PLCB1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCB2"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PLCB3"	1	"Synthesis of IP3 and IP4 in the cytosol"
"CD14"	1	"Transfer of LPS from LBP carrier to CD14"
"CALM1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"INPP5D"	1	"Synthesis of IP3 and IP4 in the cytosol"
"ITGAV"	1	"Laminin interactions"
"ITPR1"	1	"Platelet calcium homeostasis"
"ITPR2"	1	"Platelet calcium homeostasis"
"ITPR3"	1	"Platelet calcium homeostasis"
"ORAI1"	1	"Platelet calcium homeostasis"
"PLCG1"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PTEN"	1	"Synthesis of IP3 and IP4 in the cytosol"
"PTPRC"	1	"Other semaphorin interactions"
"STIM1"	1	"Platelet calcium homeostasis"
"TYROBP"	1	"Other semaphorin interactions"
"CYP1A2"	1	"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"
"GLYAT"	1	"Conjugation of benzoate with glycine"
"GLYATL1"	1	"Conjugation of benzoate with glycine"
"GLYATL2"	1	"Conjugation of benzoate with glycine"
