"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"ABH3 mediated Reversal of Alkylation Damage"	"ABH3 mediated Reversal of Alkylation Damage"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Biosynthesis of A2E, implicated in retinal degradation"	"Biosynthesis of A2E, implicated in retinal degradation"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"C6 deamination of adenosine"	"C6 deamination of adenosine"	2	2	2	1	0.0169491525423729	2	2	1	1	0	0
"COX reactions"	"COX reactions"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
"Conjugation of benzoate with glycine"	"Conjugation of benzoate with glycine"	5	5	5	1	0.0847457627118644	10	10	6	1	0	0
"Conjugation of phenylacetate with glutamine"	"Conjugation of phenylacetate with glutamine"	2	2	2	1	0.0593220338983051	7	7	6	1	0	0
"Disinhibition of SNARE formation"	"Disinhibition of SNARE formation"	5	5	5	1	0.0423728813559322	5	5	1	1	0	0
"FGFR1c and Klotho ligand binding and activation"	"FGFR1c and Klotho ligand binding and activation"	3	3	3	1	0.0423728813559322	5	5	2	1	0	0
"Formation of editosomes by ADAR proteins"	"Formation of editosomes by ADAR proteins"	2	2	2	1	0.0169491525423729	2	2	1	1	0	0
"GABA synthesis"	"GABA synthesis"	2	2	2	1	0.0254237288135593	3	3	2	1	0	0
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	4	1	0.0593220338983051	7	8	3	1	0	0
"Inhibition of HSL"	"Inhibition of HSL"	2	2	2	1	0.0254237288135593	3	3	2	1	0	0
"Inhibition of Signaling by Overexpressed EGFR"	"Inhibition of Signaling by Overexpressed EGFR"	2	2	2	1	0.0338983050847458	4	5	3	2	0	0
"NADPH regeneration"	"NADPH regeneration"	1	1	1	1	0.00847457627118644	1	1	1	1	0	0
