"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"3' -UTR-mediated translational regulation"	"EIF2S2 EIF3A EIF3B EIF3E EIF3I EIF4B EIF4G1 EIF4H RPL22 RPL26 RPL26L1 RPL36 RPL37 RPS13 RPS20 RPS23 RPS5"
"5-Phosphoribose 1-diphosphate biosynthesis"	"PRPS1 PRPS1L1"
"A tetrasaccharide linker sequence is required for GAG synthesis"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN"
"A third proteolytic cleavage releases NICD"	"APH1A NOTCH1 NOTCH2 NOTCH3 NOTCH4"
"ABC-family proteins mediated transport"	"ABCA10 ABCA12 ABCA2 ABCA3 ABCA6 ABCA8 ABCA9 ABCB1 ABCB5 ABCB6 ABCC10 ABCC11 ABCC3 ABCC5 ABCC8 ABCC9 ABCD1 ABCD2 ABCD3 ABCG4 ABCG8 CFTR PEX19"
"ABCA transporters in lipid homeostasis"	"ABCA10 ABCA12 ABCA2 ABCA3 ABCA6 ABCA9 ABCD1 ABCD2 ABCD3 ABCG4 ABCG8 PEX19"
"ABH3 mediated Reversal of Alkylation Damage"	"ALKBH3"
"ADP signalling through P2Y purinoceptor 1"	"GNB3 GNG12 GNG2 P2RY1"
"ADP signalling through P2Y purinoceptor 12"	"GNB3 GNG12 GNG2 GNAI1 GNAI3 GNAT3"
"AKT phosphorylates targets in the cytosol"	"AKT2 AKT3 CDKN1B MDM2"
"AKT phosphorylates targets in the nucleus"	"AKT2 AKT3 FOXO1 FOXO4"
"AKT-mediated inactivation of FOXO1A"	"AKT2 AKT3 FOXO1"
"AMER1 mutants destabilize the destruction complex"	"AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC"
"AMPK inhibits chREBP transcriptional activation activity"	"MLXIPL PRKAA2"
"APC truncation mutants are not K63 polyubiquitinated"	"AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC"
"APC truncation mutants have impaired AXIN binding"	"AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC"
"APC-Cdc20 mediated degradation of Nek2A"	"UBB UBC ANAPC1 ANAPC7 NEK2"
"APC/C-mediated degradation of cell cycle proteins"	"CUL1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ANAPC1 ANAPC7 NEK2 AURKB CCNA1 CDC14A FZR1 PLK1"
"APC/C:Cdc20 mediated degradation of Cyclin B"	"UBB UBC ANAPC1 ANAPC7"
"APC/C:Cdc20 mediated degradation of Securin"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7"
"APC/C:Cdc20 mediated degradation of mitotic proteins"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 NEK2 CCNA1"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 AURKB FZR1 PLK1"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 NEK2 CCNA1"
"APOBEC3G mediated resistance to HIV-1 infection"	"PSIP1"
"ARL13B-mediated ciliary trafficking of INPP5E"	"ARL13B"
"ARMS-mediated activation"	"CRK HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 NTRK1"
"ATF4 activates genes"	"ASNS CCL2 DIS3 EXOSC7 EXOSC8 HERPUD1 NFYC PARN"
"ATF6-alpha activates chaperone genes"	"NFYC HSP90B1"
"ATF6-alpha activates chaperones"	"NFYC HSP90B1 MBTPS1 MBTPS2"
"ATM mediated phosphorylation of repair proteins"	"ATM BRCA1 MDC1 NBN"
"ATM mediated response to DNA double-strand break"	"ATM BRCA1 MDC1 NBN"
"ATP sensitive Potassium channels"	"ABCC8 ABCC9 KCNJ8"
"AUF1 (hnRNP D0) destabilizes mRNA"	"EIF4G1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC HNRNPD HSPA8"
"AXIN missense mutants destabilize the destruction complex"	"AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC"
"AXIN mutants destabilize the destruction complex, activating WNT signaling"	"AMER1 APC AXIN2 CSNK1A1 CTBP2 CTNNB1 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 TCF7L1 TLE2 UBB UBC"
"Abacavir metabolism"	"ADAL NT5C2"
"Abacavir transmembrane transport"	"ABCB1 SLC22A2 SLC22A3"
"Abacavir transport and metabolism"	"ABCB1 ADAL NT5C2 SLC22A2 SLC22A3"
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate"	"IDH1"
"Abnormal metabolism in phenylketonuria"	"LDHB"
"Abortive elongation of HIV-1 transcript in the absence of Tat"	"GTF2F1 NCBP1 NCBP2 NELFA NELFB NELFCD NELFE POLR2A POLR2B POLR2G SUPT5H"
"Acetylcholine Binding And Downstream Events"	"CHRNA6 CHRND CHRNG"
"Acetylcholine Neurotransmitter Release Cycle"	"BZRAP1 CPLX1 PPFIA1 PPFIA2 PPFIA4 RIMS1 SLC18A3 SLC5A7 STX1A SYT1 UNC13B"
"Acetylcholine regulates insulin secretion"	"CHRM3 PLCB1 PLCB2 PLCB3 PRKCA"
"Activated NOTCH1 Transmits Signal to the Nucleus"	"APH1A NOTCH1 UBB UBC ADAM17 ARRB1 CNTN1 DLK1 DLL1 DNER DTX1 JAG1 JAG2 MIB1 NUMB"
"Activated TLR4 signalling"	"PPP2CB PPP2R1A PPP2R1B UBB UBC IL6ST JAK1 JAK2 MAP2K1 ATF1 CASP8 CD14 DHX9 FOS IKBKB IKBKE IRAK1 IRAK3 IRAK4 MAP2K3 MAP2K6 MAP3K1 MAP3K7 MAPK10 MAPK9 MAPKAPK3 MEF2C NFKB1 NOD1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5 S100B SIGIRR TAB1 TAB2 TANK TICAM1 TLR1 TLR4 TLR6"
"Activated point mutants of FGFR2"	"FGF1 FGF10 FGF2 FGF20 FGF23 FGFR2"
"Activation and oligomerization of BAK protein"	"BID"
"Activation of AMPA receptors"	"GRIA2 GRIA3 GRIA4"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 NEK2 CCNA1 PLK1"
"Activation of ATR in response to replication stress"	"ATR ATRIP CDC45 CLSPN HUS1 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RFC2 RFC4 RFC5 RPA1"
"Activation of BAD and translocation to mitochondria"	"AKT2 AKT3 BID YWHAE YWHAQ YWHAZ"
"Activation of BH3-only proteins"	"AKT2 AKT3 BID YWHAE YWHAQ YWHAZ BCL2L11 TFDP1 TP53"
"Activation of BIM and translocation to mitochondria"	"BCL2L11"
"Activation of C3 and C5"	"C3 C5"
"Activation of Ca-permeable Kainate Receptor"	"DLG1 DLG3 GRIK2 GRIK4 NCALD"
"Activation of DNA fragmentation factor"	"CASP3 HIST1H1B HIST1H1C HIST1H1D"
"Activation of G protein gated Potassium channels"	"GNB3 GNG12 GNG2 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ2 KCNJ5"
"Activation of GABAB receptors"	"GNB3 GNG12 GNG2 GNAI1 GNAI3 GNAT3 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ2 KCNJ5 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9"
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	"UBB UBC CD14 IKBKE TANK TICAM1 TLR4"
"Activation of Kainate Receptors upon glutamate binding"	"GNB3 GNG12 GNG2 PLCB1 PLCB2 PLCB3 DLG1 DLG3 GRIK2 GRIK4 NCALD"
"Activation of Matrix Metalloproteinases"	"CMA1 CTSG KLKB1 MMP10 MMP14 MMP15 MMP16 MMP24 MMP25 PLG"
"Activation of NF-kappaB in B cells"	"CUL1 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC IKBKB MAP3K7 NFKB1 CARD11 MALT1 PRKCB REL"
"Activation of NIMA Kinases NEK9, NEK6, NEK7"	"PLK1 NEK6 NEK9"
"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"HRAS RPS6KA1 RPS6KA2 RPS6KA3 GRIA2 GRIA3 GRIA4 ADCY1 ADCY3 ADCY8 ACTN2 AKAP9 CAMK2B GRIN2A GRIN2B NEFL PRKACA RASGRF1 RASGRF2 RPS6KA6"
"Activation of NOXA and translocation to mitochondria"	"TFDP1 TP53"
"Activation of Na-permeable Kainate Receptors"	"GRIK2"
"Activation of Nicotinic Acetylcholine Receptors"	"CHRNA6 CHRND CHRNG"
"Activation of PKB"	"AKT2"
"Activation of PPARGC1A (PGC-1alpha) by phosphorylation"	"PRKAA2 PRKAB1"
"Activation of PUMA and translocation to mitochondria"	"TFDP1 TP53"
"Activation of RAS in B cells"	"HRAS KRAS RASGRP1"
"Activation of Rac"	"NCK2 PAK3 PAK6 PAK7 RAC1 ROBO1 SLIT2 SOS1 SOS2"
"Activation of SMO"	"CSNK1A1 ARRB1 ADRBK1 BOC CDON EVC EVC2 IQCE KIF3A PTCH1 SMO"
"Activation of TRKA receptors"	"NTRK1 ADCYAP1 ADCYAP1R1 NTRK2"
"Activation of caspases through apoptosome-mediated cleavage"	"CASP3 APAF1 CASP7"
"Activation of gene expression by SREBF (SREBP)"	"NFYC ACACA ACACB CHD9 CREBBP FASN FDFT1 HELZ2 HMGCR HMGCS1 IDI1 MED1 NCOA1 NCOA2 NCOA6 RXRA SP1 SREBF2 TBL1X TGS1 TM7SF2"
"Activation of the AP-1 family of transcription factors"	"FOS MAPK10 MAPK9"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	"EIF2S2 EIF3A EIF3B EIF3E EIF3I EIF4B EIF4G1 EIF4H RPS13 RPS20 RPS23 RPS5 EIF4EBP1"
"Activation of the phototransduction cascade"	"CNGA1 CNGB1 GNAT1 PDE6A RHO"
"Activation of the pre-replicative complex"	"CDC45 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RPA1 CDT1 POLA2 POLE"
"Activation, myristolyation of BID and translocation to mitochondria"	"CASP8 BID NMT1"
"Activation, translocation and oligomerization of BAX"	"BID"
"Acyl chain remodeling of CL"	"LCLAT1"
"Acyl chain remodeling of DAG and TAG"	"DGAT2"
"Acyl chain remodelling of PC"	"LPCAT1 LPCAT2 PLA2G4C PLA2G4E PLA2G4F PLB1 PLBD1 PNPLA8"
"Acyl chain remodelling of PE"	"PLA2G4C PLA2G4E PLA2G4F PLBD1 PNPLA8"
"Acyl chain remodelling of PG"	"LPCAT1 PLA2G4F"
"Acyl chain remodelling of PI"	"PLA2G4C PLA2G4E PLA2G4F PLBD1 MBOAT7"
"Acyl chain remodelling of PS"	"PLA2G4E PLA2G4F"
