"types"	"counts"
"1"	"A1BG"	3
"2"	"A1CF"	2
"3"	"A2M"	1
"4"	"A2ML1"	1
"5"	"A4GNT"	1
"6"	"AAAS"	1
"7"	"AACS"	1
"8"	"AADACL3"	1
"9"	"AADAT"	1
"10"	"AANAT"	1
"11"	"AAR2"	1
"12"	"AARD"	1
"13"	"AARS2"	1
"14"	"AASDHPPT"	2
"15"	"AATK"	1
"16"	"ABCA10"	3
"17"	"ABCA12"	5
"18"	"ABCA13"	11
"19"	"ABCA2"	1
"20"	"ABCA3"	1
"21"	"ABCA6"	3
"22"	"ABCA8"	1
"23"	"ABCA9"	2
"24"	"ABCB1"	1
"25"	"ABCB4"	1
"26"	"ABCB5"	3
"27"	"ABCB6"	2
"28"	"ABCC10"	1
"29"	"ABCC11"	1
"30"	"ABCC12"	1
"31"	"ABCC3"	1
"32"	"ABCC5"	2
"33"	"ABCC8"	3
"34"	"ABCC9"	6
"35"	"ABCD1"	1
"36"	"ABCD2"	1
"37"	"ABCD3"	1
"38"	"ABCF1"	1
"39"	"ABCF3"	2
"40"	"ABCG4"	2
"41"	"ABCG8"	1
"42"	"ABHD1"	1
"43"	"ABHD10"	2
"44"	"ABHD11"	1
"45"	"ABHD14A-ACY1"	1
"46"	"ABHD15"	1
"47"	"ABHD17B"	1
"48"	"ABHD5"	1
"49"	"ABI2"	1
"50"	"ABL2"	2
"51"	"ABLIM2"	1
"52"	"ABLIM3"	1
"53"	"ABR"	1
"54"	"ABRA"	1
"55"	"ABRACL"	1
"56"	"ABTB1"	1
"57"	"ABTB2"	2
"58"	"AC004381-6"	1
"59"	"AC124312-1"	1
"60"	"ACACA"	6
"61"	"ACACB"	2
"62"	"ACAD10"	2
"63"	"ACAD9"	1
"64"	"ACADM"	1
"65"	"ACADS"	1
"66"	"ACADSB"	2
"67"	"ACADVL"	2
"68"	"ACAN"	2
"69"	"ACAP2"	1
"70"	"ACAT2"	1
"71"	"ACBD6"	1
"72"	"ACE"	2
"73"	"ACER2"	1
"74"	"ACIN1"	1
"75"	"ACKR1"	1
"76"	"ACKR2"	1
"77"	"ACMSD"	1
"78"	"ACOT11"	1
"79"	"ACOT12"	1
"80"	"ACOX2"	1
"81"	"ACP2"	1
"82"	"ACSBG1"	1
"83"	"ACSBG2"	2
"84"	"ACSF2"	1
"85"	"ACSL3"	1
"86"	"ACSL4"	2
"87"	"ACSL5"	3
"88"	"ACSM1"	1
"89"	"ACSM2B"	6
"90"	"ACSM4"	1
"91"	"ACSM5"	4
"92"	"ACSS2"	1
"93"	"ACSS3"	4
"94"	"ACTA1"	2
"95"	"ACTA2"	1
"96"	"ACTB"	1
"97"	"ACTC1"	3
"98"	"ACTL6A"	1
"99"	"ACTL9"	1
"100"	"ACTN2"	1
"101"	"ACTN3"	2
"102"	"ACTN4"	1
"103"	"ACTR2"	1
"104"	"ACTR3C"	1
"105"	"ACTR5"	4
"106"	"ACTR6"	1
"107"	"ACTRT2"	1
"108"	"ACVR1B"	3
"109"	"ACVR1C"	1
"110"	"ACVR2A"	1
"111"	"ACYP1"	1
"112"	"ADAD1"	1
"113"	"ADAL"	1
"114"	"ADAM11"	2
"115"	"ADAM12"	2
"116"	"ADAM15"	2
"117"	"ADAM17"	1
"118"	"ADAM2"	3
"119"	"ADAM21"	1
"120"	"ADAM22"	1
"121"	"ADAM28"	1
"122"	"ADAM29"	2
"123"	"ADAM33"	1
"124"	"ADAM7"	1
"125"	"ADAM8"	2
"126"	"ADAMDEC1"	1
"127"	"ADAMTS10"	4
"128"	"ADAMTS12"	9
"129"	"ADAMTS14"	3
"130"	"ADAMTS15"	1
"131"	"ADAMTS16"	4
"132"	"ADAMTS17"	1
"133"	"ADAMTS18"	1
"134"	"ADAMTS19"	4
"135"	"ADAMTS2"	1
"136"	"ADAMTS20"	3
"137"	"ADAMTS3"	4
"138"	"ADAMTS4"	1
"139"	"ADAMTS5"	1
"140"	"ADAMTS6"	1
"141"	"ADAMTS7"	2
"142"	"ADAMTS8"	2
"143"	"ADAMTS9"	5
"144"	"ADAMTSL1"	4
"145"	"ADAMTSL5"	1
"146"	"ADAP2"	1
"147"	"ADAR"	1
"148"	"ADARB1"	1
"149"	"ADCK1"	1
"150"	"ADCK2"	1
"151"	"ADCK4"	2
"152"	"ADCY1"	4
"153"	"ADCY10"	1
"154"	"ADCY2"	8
"155"	"ADCY3"	1
"156"	"ADCY4"	1
"157"	"ADCY5"	1
"158"	"ADCY6"	2
"159"	"ADCY8"	3
"160"	"ADCY9"	1
"161"	"ADCYAP1"	1
"162"	"ADCYAP1R1"	1
"163"	"ADD2"	1
"164"	"ADGRA1"	2
"165"	"ADGRA3"	1
"166"	"ADGRB1"	1
"167"	"ADGRB2"	1
"168"	"ADGRB3"	9
"169"	"ADGRD1"	4
"170"	"ADGRE1"	3
"171"	"ADGRE3"	1
"172"	"ADGRE5"	2
"173"	"ADGRF2"	3
"174"	"ADGRF4"	1
"175"	"ADGRF5"	2
"176"	"ADGRG2"	2
"177"	"ADGRG4"	5
"178"	"ADGRG5"	1
"179"	"ADGRG6"	2
"180"	"ADGRG7"	3
"181"	"ADGRL1"	3
"182"	"ADGRL2"	6
"183"	"ADGRL3"	5
"184"	"ADGRL4"	3
"185"	"ADGRV1"	8
"186"	"ADH4"	1
"187"	"ADIPOR2"	2
"188"	"ADORA1"	1
"189"	"ADPGK"	2
"190"	"ADPRH"	1
"191"	"ADPRM"	1
"192"	"ADRA1A"	2
"193"	"ADRA2B"	1
"194"	"ADRB3"	1
"195"	"ADRBK1"	2
"196"	"ADRBK2"	1
"197"	"ADSS"	1
"198"	"ADSSL1"	1
"199"	"AEBP1"	2
"200"	"AFAP1"	2
"201"	"AFF1"	1
"202"	"AFF2"	1
"203"	"AFF3"	3
"204"	"AFMID"	1
"205"	"AFTPH"	2
"206"	"AGAP1"	3
"207"	"AGAP3"	1
"208"	"AGAP4"	2
"209"	"AGAP5"	2
"210"	"AGBL1"	3
"211"	"AGBL2"	1
"212"	"AGBL5"	3
"213"	"AGMO"	4
"214"	"AGO1"	3
"215"	"AGO2"	1
"216"	"AGO3"	2
"217"	"AGO4"	1
"218"	"AGPAT1"	2
"219"	"AGPAT2"	1
"220"	"AGPAT3"	1
"221"	"AGPAT4"	1
"222"	"AGPAT9"	1
"223"	"AGPS"	2
"224"	"AGR3"	1
"225"	"AGRN"	1
"226"	"AGT"	1
"227"	"AGTPBP1"	2
"228"	"AGTR1"	2
"229"	"AGXT2"	1
"230"	"AHCTF1"	2
"231"	"AHCYL2"	2
"232"	"AHDC1"	3
"233"	"AHI1"	3
"234"	"AHNAK"	14
"235"	"AHNAK2"	4
"236"	"AIDA"	1
"237"	"AIFM1"	1
"238"	"AIG1"	1
"239"	"AIM1"	1
"240"	"AIP"	1
"241"	"AIPL1"	1
"242"	"AJAP1"	2
"243"	"AJUBA"	10
"244"	"AK2"	1
"245"	"AK4"	1
"246"	"AK5"	3
"247"	"AK9"	2
"248"	"AKAP1"	2
"249"	"AKAP10"	1
"250"	"AKAP12"	3
"251"	"AKAP13"	4
"252"	"AKAP5"	1
"253"	"AKAP6"	3
"254"	"AKAP8"	1
"255"	"AKAP8L"	1
"256"	"AKAP9"	3
"257"	"AKIRIN2"	1
"258"	"AKNAD1"	1
"259"	"AKR1B10"	2
"260"	"AKR1C4"	1
"261"	"AKR1D1"	1
"262"	"AKT2"	2
"263"	"AKT3"	2
"264"	"ALAD"	1
"265"	"ALB"	3
"266"	"ALDH1A2"	3
"267"	"ALDH1L2"	1
"268"	"ALDH3B1"	1
"269"	"ALG1"	2
"270"	"ALG10"	1
"271"	"ALG10B"	2
"272"	"ALG13"	1
"273"	"ALG1L2"	1
"274"	"ALG2"	1
"275"	"ALG6"	1
"276"	"ALK"	2
"277"	"ALKBH3"	1
"278"	"ALKBH4"	1
"279"	"ALKBH5"	1
"280"	"ALKBH8"	1
"281"	"ALLC"	1
"282"	"ALMS1"	4
"283"	"ALOX12"	1
"284"	"ALOX12B"	1
"285"	"ALOX5"	2
"286"	"ALOXE3"	1
"287"	"ALPK1"	3
"288"	"ALPK2"	2
"289"	"ALPK3"	2
"290"	"ALPL"	1
"291"	"ALPPL2"	1
"292"	"ALX1"	1
"293"	"ALX3"	1
"294"	"ALX4"	2
"295"	"ALYREF"	1
"296"	"AMBN"	1
"297"	"AMBRA1"	1
"298"	"AMER1"	3
"299"	"AMER2"	1
"300"	"AMHR2"	1
"301"	"AMIGO2"	1
"302"	"AMIGO3"	1
"303"	"AMMECR1L"	1
"304"	"AMOT"	2
"305"	"AMOTL2"	1
"306"	"AMPD1"	1
"307"	"AMPH"	2
"308"	"AMY2A"	1
"309"	"AMY2B"	3
"310"	"AMZ1"	1
"311"	"ANAPC1"	4
"312"	"ANAPC7"	1
"313"	"ANGEL1"	1
"314"	"ANGEL2"	1
"315"	"ANGPT2"	1
"316"	"ANGPT4"	1
"317"	"ANGPTL3"	1
"318"	"ANGPTL6"	1
"319"	"ANK2"	7
"320"	"ANK3"	3
"321"	"ANKAR"	1
"322"	"ANKFN1"	1
"323"	"ANKFY1"	1
"324"	"ANKH"	2
"325"	"ANKIB1"	1
"326"	"ANKLE1"	1
"327"	"ANKLE2"	3
"328"	"ANKMY1"	1
"329"	"ANKRD1"	1
"330"	"ANKRD11"	5
"331"	"ANKRD12"	3
"332"	"ANKRD17"	5
"333"	"ANKRD26"	2
"334"	"ANKRD27"	1
"335"	"ANKRD30A"	3
"336"	"ANKRD30B"	5
"337"	"ANKRD30BL"	1
"338"	"ANKRD32"	1
"339"	"ANKRD35"	1
"340"	"ANKRD36"	4
"341"	"ANKRD40"	1
"342"	"ANKRD45"	1
"343"	"ANKRD50"	1
"344"	"ANKRD52"	2
"345"	"ANKS1B"	2
"346"	"ANKS3"	1
"347"	"ANKS6"	1
"348"	"ANLN"	2
"349"	"ANO1"	1
"350"	"ANO10"	1
"351"	"ANO2"	1
"352"	"ANO3"	2
"353"	"ANO4"	4
"354"	"ANO5"	2
"355"	"ANO6"	1
"356"	"ANO7"	1
"357"	"ANP32D"	1
"358"	"ANP32E"	2
"359"	"ANTXR1"	1
"360"	"ANTXR2"	1
"361"	"ANXA2R"	2
