"path number"	"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"1"	1	"Signaling by FGFR4 mutants"	1	1	1	1	1	1	1	1	0.0175438596491228	1	1	1	1	0	0
"2"	2	"t(4;14) translocations of FGFR3"	1	1	1	1	1	1	1	1	0.087719298245614	5	5	5	5	0	0
"3"	3	"Inhibition of Signaling by Overexpressed EGFR"	2	2	1	0.5	2	2	2	1	0.0526315789473684	3	3	2	1	0	0
"4"	4	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	1	0.5	2	2	2	1	0.0350877192982456	2	2	1	1	0	0
"5"	5	"phospho-PLA2 pathway"	2	2	1	0.5	2	2	2	1	0.087719298245614	5	5	3	2	0	0
"6"	6	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	39	39	16	0.41025641025641	39	39	19	0.487179487179487	0.280701754385965	16	24	3	0	7.24396760856116e-05	0.030779381336147
"7"	7	"VEGFA-VEGFR2 Pathway"	105	105	42	0.4	105	105	43	0.40952380952381	0.543859649122807	31	69	15	0	5.51200975729138e-06	0.00365230617381266
"8"	8	"Signaling by VEGF"	113	113	44	0.389380530973451	113	113	44	0.389380530973451	0.543859649122807	31	70	15	0	2.10028151110819e-05	0.0104760321846875
"9"	9	"Signaling by PDGF"	184	184	46	0.25	184	184	65	0.353260869565217	0.842105263157895	48	111	15	0	1.82858602993941e-05	0.0095354208908399
"10"	10	"Signalling by NGF"	287	287	69	0.240418118466899	287	287	93	0.32404181184669	0.842105263157895	48	138	15	0	2.61551699363149e-05	0.0125024018879365
"11"	11	"NCAM signaling for neurite out-growth"	70	70	16	0.228571428571429	70	70	30	0.428571428571429	0.403508771929825	23	42	3	0	3.65963020411142e-05	0.0167936209082415
"12"	12	"L1CAM interactions"	97	97	19	0.195876288659794	97	97	43	0.443298969072165	0.491228070175439	28	60	3	0	3.99017802799051e-07	0.000381468057227848
"13"	13	"Axon guidance"	327	327	63	0.192660550458716	327	327	120	0.36697247706422	0.807017543859649	46	163	4	0	6.878334568583e-10	7.89097099859049e-07
"14"	14	"Nephrin interactions"	22	22	4	0.181818181818182	22	22	14	0.636363636363636	0.421052631578947	24	32	15	0	5.73050019658794e-06	0.00365230617381266
"15"	15	"Developmental Biology"	519	519	87	0.167630057803468	519	519	160	0.308285163776493	0.87719298245614	50	221	8	0	1.59287363432625e-06	0.00130527024773645
"16"	16	"Cell-Cell communication"	130	130	17	0.130769230769231	130	130	48	0.369230769230769	0.666666666666667	38	87	15	0	5.09721091621618e-05	0.0224908778719576
"17"	17	"Non-integrin membrane-ECM interactions"	42	42	5	0.119047619047619	42	42	20	0.476190476190476	0.350877192982456	20	29	3	0	7.75481502786057e-05	0.0317731711870769
"18"	18	"Neuronal System"	280	280	24	0.0857142857142857	280	280	94	0.335714285714286	0.701754385964912	40	119	3	0	4.61737246726379e-06	0.00352050352256917
"19"	19	"ABC-family proteins mediated transport"	36	36	3	0.0833333333333333	36	36	21	0.583333333333333	0.333333333333333	19	24	3	0	6.26859712804517e-07	0.000553189792428784
"20"	20	"Extracellular matrix organization"	266	266	14	0.0526315789473684	266	266	99	0.37218045112782	0.649122807017544	37	133	5	0	8.50595316403968e-09	8.8710995456503e-06
"21"	21	"Voltage gated Potassium channels"	43	43	2	0.0465116279069767	43	43	20	0.465116279069767	0.245614035087719	14	25	3	0	0.000119850886541095	0.044353378616502
"22"	22	"Chromatin modifying enzymes"	208	208	9	0.0432692307692308	208	208	72	0.346153846153846	0.701754385964912	40	110	8	0	1.59892714197696e-05	0.00873487170919894
"23"	23	"Chromatin organization"	208	208	9	0.0432692307692308	208	208	72	0.346153846153846	0.701754385964912	40	110	8	0	1.59892714197696e-05	0.00873487170919894
"24"	24	"Interaction between L1 and Ankyrins"	29	29	1	0.0344827586206897	29	29	17	0.586206896551724	0.280701754385965	16	29	3	0	4.90995616786449e-06	0.00352050352256917
"25"	25	"Collagen formation"	86	86	2	0.0232558139534884	86	86	34	0.395348837209302	0.403508771929825	23	51	5	0	0.000100914493002646	0.0399211180175107
