"path_id"	"full_path_length.x"	"testable_path_length.x"	"drug_targeted_genes"	"proportion_drug_targeted"	"full_path_length.y"	"testable_path_length.y"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"354"	"Sema4D induced cell migration and growth-cone collapse"	24	24	5	0.208333333333333	24	24	13	0.541666666666667	0.210526315789474	12	19	4	0	0.000149444861863302	0.0535769714262484
"804"	"G alpha (12/13) signalling events"	75	75	3	0.04	75	75	30	0.4	0.473684210526316	27	50	15	0	0.000176988283648094	0.0601567782088266
"228"	"DAP12 signaling"	164	164	46	0.280487804878049	164	164	56	0.341463414634146	0.754385964912281	43	92	15	0	0.000178830017113385	0.0601567782088266
"320"	"Sema4D in semaphorin signaling"	27	27	6	0.222222222222222	27	27	14	0.518518518518518	0.210526315789474	12	20	4	0	0.000183529322952514	0.0601567782088266
"215"	"Downstream signal transduction"	161	161	46	0.285714285714286	161	161	55	0.341614906832298	0.789473684210526	45	94	15	0	0.000198530570434619	0.0632662423186586
"833"	"Adherens junctions interactions"	30	30	1	0.0333333333333333	30	30	15	0.5	0.315789473684211	18	22	3	0	0.00021213429676592	0.0657743121947013
"239"	"Signaling by FGFR in disease"	177	177	49	0.27683615819209	177	177	59	0.333333333333333	0.771929824561403	44	98	15	0	0.000265876264362808	0.0793427595951079
"276"	"Signaling by EGFR in Cancer"	181	181	47	0.259668508287293	181	181	60	0.331491712707182	0.771929824561403	44	96	15	0	0.000283559373031261	0.0793427595951079
"277"	"Signaling by EGFRvIII in Cancer"	181	181	47	0.259668508287293	181	181	60	0.331491712707182	0.771929824561403	44	96	15	0	0.000283559373031261	0.0793427595951079
"278"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	181	181	47	0.259668508287293	181	181	60	0.331491712707182	0.771929824561403	44	96	15	0	0.000283559373031261	0.0793427595951079
"302"	"PLCG1 events in ERBB2 signaling"	34	34	8	0.235294117647059	34	34	16	0.470588235294118	0.333333333333333	19	23	3	0	0.000372092292771464	0.0956422178493967
"280"	"Signaling by EGFR"	179	179	46	0.256983240223464	179	179	59	0.329608938547486	0.771929824561403	44	95	15	0	0.000372789177183863	0.0956422178493967
"281"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	179	179	46	0.256983240223464	179	179	59	0.329608938547486	0.771929824561403	44	95	15	0	0.000372789177183863	0.0956422178493967
"597"	"Transmission across Chemical Synapses"	201	201	22	0.109452736318408	201	201	65	0.323383084577114	0.596491228070175	34	83	3	0	0.000375158682011545	0.0956422178493967
"509"	"PLC beta mediated events"	43	43	6	0.13953488372093	43	43	19	0.441860465116279	0.368421052631579	21	28	3	0	0.000395909162129615	0.0966373128302885
"212"	"NGF signalling via TRKA from the plasma membrane"	206	206	59	0.286407766990291	206	206	66	0.320388349514563	0.789473684210526	45	105	15	0	0.00045872673411429	0.109637712173196
"55"	"Post NMDA receptor activation events"	35	35	16	0.457142857142857	35	35	16	0.457142857142857	0.263157894736842	15	20	3	0	0.000573894748345682	0.126342531983961
"518"	"G-protein mediated events"	44	44	6	0.136363636363636	44	44	19	0.431818181818182	0.368421052631579	21	28	3	0	0.000574721289767655	0.126342531983961
"202"	"Downstream signaling of activated FGFR"	149	149	44	0.295302013422819	149	149	50	0.335570469798658	0.736842105263158	42	86	15	0	0.000578587848599321	0.126342531983961
"214"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	2	0.285714285714286	7	7	5	0.714285714285714	0.12280701754386	7	7	3	0	0.000711670803790754	0.145793537282646
"316"	"Semaphorin interactions"	67	67	15	0.223880597014925	67	67	26	0.388059701492537	0.350877192982456	20	33	4	0	0.000731237098577364	0.147173802857383
"528"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	140	140	18	0.128571428571429	140	140	47	0.335714285714286	0.543859649122807	31	60	3	0	0.000794635389499421	0.157176299564152
"209"	"Signaling by FGFR"	162	162	47	0.290123456790123	162	162	53	0.327160493827161	0.736842105263158	42	89	15	0	0.000831975867004231	0.158981027602435
"647"	"Netrin-1 signaling"	42	42	4	0.0952380952380952	42	42	18	0.428571428571429	0.333333333333333	19	25	3	0	0.000843749770939928	0.158981027602435
"340"	"EGFR interacts with phospholipase C-gamma"	33	33	7	0.212121212121212	33	33	15	0.454545454545455	0.315789473684211	18	22	3	0	0.000851217207521571	0.158981027602435
"334"	"DCC mediated attractive signaling"	14	14	3	0.214285714285714	14	14	8	0.571428571428571	0.175438596491228	10	10	2	0	0.00092037928287958	0.167599776723149
"279"	"DAP12 interactions"	179	179	46	0.256983240223464	179	179	57	0.318435754189944	0.754385964912281	43	93	15	0	0.00119062241834211	0.212433110739967
"333"	"Ca-dependent events"	28	28	6	0.214285714285714	28	28	13	0.464285714285714	0.298245614035088	17	20	3	0	0.00122214565851908	0.212433110739967
"304"	"Unblocking of NMDA receptor, glutamate binding and activation"	17	17	4	0.235294117647059	17	17	9	0.529411764705882	0.157894736842105	9	10	2	0	0.00125916884801025	0.212433110739967
"566"	"PKA activation in glucagon signalling"	17	17	2	0.117647058823529	17	17	9	0.529411764705882	0.175438596491228	10	11	3	0	0.00125916884801025	0.212433110739967
"203"	"Signaling by ERBB2"	163	163	48	0.294478527607362	163	163	52	0.319018404907975	0.736842105263158	42	88	15	0	0.0017413976442171	0.284566933206791
"271"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	4	0.266666666666667	15	15	8	0.533333333333333	0.157894736842105	9	9	2	0	0.00184484249126204	0.289923609929562
"382"	"p130Cas linkage to MAPK signaling for integrins"	15	15	3	0.2	15	15	8	0.533333333333333	0.157894736842105	9	9	2	0	0.00184484249126204	0.289923609929562
"642"	"Ca2+ pathway"	61	61	6	0.0983606557377049	61	61	23	0.377049180327869	0.385964912280702	22	31	3	0	0.00208465946395653	0.318875394578875
"823"	"Cell junction organization"	85	85	3	0.0352941176470588	85	85	30	0.352941176470588	0.491228070175439	28	51	5	0	0.00216389958000296	0.326640973369088
"596"	"Hemostasis"	497	497	55	0.110663983903421	497	497	137	0.275653923541247	0.947368421052632	54	206	22	0	0.00219909397980711	0.327642488046474
"544"	"Sema4D mediated inhibition of cell attachment and migration"	8	8	1	0.125	8	8	5	0.625	0.0526315789473684	3	5	1	0	0.00230403153684655	0.330404218052588
"107"	"CD28 dependent PI3K/Akt signaling"	21	21	8	0.380952380952381	21	21	10	0.476190476190476	0.368421052631579	21	26	15	0	0.00255513129913454	0.344858906623639
"199"	"Integrin alphaIIb beta3 signaling"	27	27	8	0.296296296296296	27	27	12	0.444444444444444	0.245614035087719	14	15	3	0	0.00280288815002649	0.365310435994951
