"Number of paths"	"Path names"
"COL18A1"	2	"Laminin interactions | Collagen biosynthesis and modifying enzymes"
"HSPG2"	1	"Laminin interactions"
"ALKBH3"	1	"ABH3 mediated Reversal of Alkylation Damage"
"ACR"	1	"Acrosome Reaction"
"ITGAV"	1	"Laminin interactions"
"ITGB1"	1	"Laminin interactions"
"BMP1"	1	"Collagen biosynthesis and modifying enzymes"
"COL7A1"	1	"Collagen biosynthesis and modifying enzymes"
"LAMA3"	1	"Laminin interactions"
"LAMB3"	1	"Laminin interactions"
"LAMC2"	1	"Laminin interactions"
"TLL1"	1	"Collagen biosynthesis and modifying enzymes"
"TLL2"	1	"Collagen biosynthesis and modifying enzymes"
"COL10A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL11A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL11A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL15A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL1A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL1A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL24A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL27A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL2A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL3A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A4"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A5"	1	"Collagen biosynthesis and modifying enzymes"
"COL4A6"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL5A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A3"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A5"	1	"Collagen biosynthesis and modifying enzymes"
"COL6A6"	1	"Collagen biosynthesis and modifying enzymes"
"COL8A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL8A2"	1	"Collagen biosynthesis and modifying enzymes"
"ITGA6"	1	"Laminin interactions"
"ITGB4"	1	"Laminin interactions"
"PCOLCE"	1	"Collagen biosynthesis and modifying enzymes"
"SERPINH1"	1	"Collagen biosynthesis and modifying enzymes"
"COL9A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL9A2"	1	"Collagen biosynthesis and modifying enzymes"
"COL9A3"	1	"Collagen biosynthesis and modifying enzymes"
"ITGA1"	1	"Laminin interactions"
"ITGA2"	1	"Laminin interactions"
"LAMA1"	1	"Laminin interactions"
"LAMB1"	1	"Laminin interactions"
"LAMC1"	1	"Laminin interactions"
"ITGA3"	1	"Laminin interactions"
"NAPEPLD"	1	"Biosynthesis of A2E, implicated in retinal degradation"
"COL17A1"	1	"Collagen biosynthesis and modifying enzymes"
"P4HB"	1	"Collagen biosynthesis and modifying enzymes"
"ADAMTS14"	1	"Collagen biosynthesis and modifying enzymes"
"ADAMTS2"	1	"Collagen biosynthesis and modifying enzymes"
"ADAMTS3"	1	"Collagen biosynthesis and modifying enzymes"
"COL12A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL13A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL14A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL16A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL19A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL20A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL21A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL22A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL23A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL25A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL26A1"	1	"Collagen biosynthesis and modifying enzymes"
"COL28A1"	1	"Collagen biosynthesis and modifying enzymes"
"COLGALT1"	1	"Collagen biosynthesis and modifying enzymes"
"COLGALT2"	1	"Collagen biosynthesis and modifying enzymes"
"CRTAP"	1	"Collagen biosynthesis and modifying enzymes"
"P3H1"	1	"Collagen biosynthesis and modifying enzymes"
"P3H2"	1	"Collagen biosynthesis and modifying enzymes"
"P3H3"	1	"Collagen biosynthesis and modifying enzymes"
"PCOLCE2"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD1"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD2"	1	"Collagen biosynthesis and modifying enzymes"
"PLOD3"	1	"Collagen biosynthesis and modifying enzymes"
"PPIB"	1	"Collagen biosynthesis and modifying enzymes"
"LAMA5"	1	"Laminin interactions"
"NID1"	1	"Laminin interactions"
"ITGA7"	1	"Laminin interactions"
"LAMA2"	1	"Laminin interactions"
"LAMA4"	1	"Laminin interactions"
"LAMB2"	1	"Laminin interactions"
"LAMC3"	1	"Laminin interactions"
"NID2"	1	"Laminin interactions"
"KCNK13"	1	"Tandem pore domain halothane-inhibited K+ channel (THIK)"
