"path_id"	"full_path_length"	"testable_path_length"	"aberrational_genes"	"proportion_aberrational"	"proportion_of_cohort_w_aberrational_gene_in_path"	"Num_patient_with_aberrational_gene_.s._in_path"	"count_of_aberrational_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"ABH3 mediated Reversal of Alkylation Damage"	"ABH3 mediated Reversal of Alkylation Damage"	1	1	1	1	0.0175438596491228	1	1	1	1	0	0
"Acrosome Reaction"	"Acrosome Reaction"	1	1	1	1	0.0175438596491228	1	1	1	1	0	0
"Biosynthesis of A2E, implicated in retinal degradation"	"Biosynthesis of A2E, implicated in retinal degradation"	1	1	1	1	0.0175438596491228	1	1	1	1	0	0
"Inhibition of Signaling by Overexpressed EGFR"	"Inhibition of Signaling by Overexpressed EGFR"	2	2	2	1	0.0526315789473684	3	3	2	1	0	0
"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	"Regulation of PAK-2p34 activity by PS-GAP/RHG10"	2	2	2	1	0.0350877192982456	2	2	1	1	0	0
"Signaling by FGFR4 mutants"	"Signaling by FGFR4 mutants"	1	1	1	1	0.0175438596491228	1	1	1	1	0	0
"Tandem pore domain halothane-inhibited K+ channel (THIK)"	"Tandem pore domain halothane-inhibited K+ channel (THIK)"	1	1	1	1	0.0350877192982456	2	2	2	2	0	0
"phospho-PLA2 pathway"	"phospho-PLA2 pathway"	2	2	2	1	0.087719298245614	5	5	3	2	0	0
"t(4;14) translocations of FGFR3"	"t(4;14) translocations of FGFR3"	1	1	1	1	0.087719298245614	5	5	5	5	0	0
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	5	5	4	0.8	0.140350877192982	8	9	4	0	0.000562471536616815	0.126342531983961
"Activation of AMPA receptors"	"Activation of AMPA receptors"	4	4	3	0.75	0.0701754385964912	4	4	2	0	0.00251463681698527	0.343433878488618
"Catecholamine biosynthesis"	"Catecholamine biosynthesis"	4	4	3	0.75	0.0526315789473684	3	3	1	0	0.00251463681698527	0.343433878488618
"HCN channels"	"HCN channels"	4	4	3	0.75	0.0701754385964912	4	4	2	0	0.00251463681698527	0.343433878488618
"Mitochondrial ABC transporters"	"Mitochondrial ABC transporters"	4	4	3	0.75	0.0526315789473684	3	3	1	0	0.00251463681698527	0.343433878488618
"CREB phosphorylation through the activation of Adenylate Cyclase"	"CREB phosphorylation through the activation of Adenylate Cyclase"	7	7	5	0.714285714285714	0.12280701754386	7	7	3	0	0.000711670803790754	0.145793537282646
"GLI proteins bind promoters of Hh responsive genes to promote transcription"	"GLI proteins bind promoters of Hh responsive genes to promote transcription"	7	7	5	0.714285714285714	0.12280701754386	7	8	2	0	0.000711670803790754	0.145793537282646
"Post-transcriptional silencing by small RNAs"	"Post-transcriptional silencing by small RNAs"	7	7	5	0.714285714285714	0.12280701754386	7	7	3	0	0.000711670803790754	0.145793537282646
"5-Phosphoribose 1-diphosphate biosynthesis"	"5-Phosphoribose 1-diphosphate biosynthesis"	3	3	2	0.666666666666667	0.0526315789473684	3	3	2	0	0.0112370530989825	0.85748121768373
"Fibronectin matrix formation"	"Fibronectin matrix formation"	6	6	4	0.666666666666667	0.0701754385964912	4	4	1	0	0.00274605006291395	0.362106523327315
"Mitochondrial transcription initiation"	"Mitochondrial transcription initiation"	3	3	2	0.666666666666667	0.0350877192982456	2	2	1	0	0.0112370530989825	0.85748121768373
"Toxicity of botulinum toxin type C (BoNT/C)"	"Toxicity of botulinum toxin type C (BoNT/C)"	3	3	2	0.666666666666667	0.0350877192982456	2	2	1	0	0.0112370530989825	0.85748121768373
"betaKlotho-mediated ligand binding"	"betaKlotho-mediated ligand binding"	3	3	2	0.666666666666667	0.0350877192982456	2	2	1	0	0.0112370530989825	0.85748121768373
"Nephrin interactions"	"Nephrin interactions"	22	22	14	0.636363636363636	0.421052631578947	24	32	15	0	5.73050019658794e-06	0.00365230617381266
"Sema4D mediated inhibition of cell attachment and migration"	"Sema4D mediated inhibition of cell attachment and migration"	8	8	5	0.625	0.0526315789473684	3	5	1	0	0.00230403153684655	0.330404218052588
"Laminin interactions"	"Laminin interactions"	23	23	14	0.608695652173913	0.245614035087719	14	19	3	0	1.3061813644244e-05	0.00788673108890875
"Activation of Ca-permeable Kainate Receptor"	"Activation of Ca-permeable Kainate Receptor"	10	10	6	0.6	0.175438596491228	10	10	3	0	0.001761147097882	0.284566933206791
"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	10	10	6	0.6	0.175438596491228	10	10	3	0	0.001761147097882	0.284566933206791
"NOSTRIN mediated eNOS trafficking"	"NOSTRIN mediated eNOS trafficking"	5	5	3	0.6	0.0526315789473684	3	3	1	0	0.0103232979384587	0.839936587939244
"PKA-mediated phosphorylation of key metabolic factors"	"PKA-mediated phosphorylation of key metabolic factors"	5	5	3	0.6	0.0526315789473684	3	3	1	0	0.0103232979384587	0.839936587939244
"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	29	29	17	0.586206896551724	0.280701754385965	16	29	3	0	4.90995616786449e-06	0.00352050352256917
"ABC-family proteins mediated transport"	"ABC-family proteins mediated transport"	36	36	21	0.583333333333333	0.333333333333333	19	24	3	0	6.26859712804517e-07	0.000553189792428784
"DCC mediated attractive signaling"	"DCC mediated attractive signaling"	14	14	8	0.571428571428571	0.175438596491228	10	10	2	0	0.00092037928287958	0.167599776723149
"Neurofascin interactions"	"Neurofascin interactions"	7	7	4	0.571428571428571	0.0701754385964912	4	5	2	0	0.00783199821072222	0.724599525270968
"Vitamin D (calciferol) metabolism"	"Vitamin D (calciferol) metabolism"	7	7	4	0.571428571428571	0.0701754385964912	4	4	1	0	0.00783199821072222	0.724599525270968
"Regulation of gene expression by Hypoxia-inducible Factor"	"Regulation of gene expression by Hypoxia-inducible Factor"	9	9	5	0.555555555555556	0.228070175438596	13	13	8	0	0.00560113527691675	0.600536536353095
"Type I hemidesmosome assembly"	"Type I hemidesmosome assembly"	9	9	5	0.555555555555556	0.210526315789474	12	15	5	0	0.00560113527691675	0.600536536353095
"Sema4D induced cell migration and growth-cone collapse"	"Sema4D induced cell migration and growth-cone collapse"	24	24	13	0.541666666666667	0.210526315789474	12	19	4	0	0.000149444861863302	0.0535769714262484
"The activation of arylsulfatases"	"The activation of arylsulfatases"	13	13	7	0.538461538461538	0.105263157894737	6	8	2	0	0.00269349568163291	0.359306424932165
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	8	0.533333333333333	0.157894736842105	9	9	2	0	0.00184484249126204	0.289923609929562
"p130Cas linkage to MAPK signaling for integrins"	"p130Cas linkage to MAPK signaling for integrins"	15	15	8	0.533333333333333	0.157894736842105	9	9	2	0	0.00184484249126204	0.289923609929562
"ABCA transporters in lipid homeostasis"	"ABCA transporters in lipid homeostasis"	17	17	9	0.529411764705882	0.157894736842105	9	10	2	0	0.00125916884801025	0.212433110739967
"PKA activation in glucagon signalling"	"PKA activation in glucagon signalling"	17	17	9	0.529411764705882	0.175438596491228	10	11	3	0	0.00125916884801025	0.212433110739967
"Unblocking of NMDA receptor, glutamate binding and activation"	"Unblocking of NMDA receptor, glutamate binding and activation"	17	17	9	0.529411764705882	0.157894736842105	9	10	2	0	0.00125916884801025	0.212433110739967
"Glutamate Neurotransmitter Release Cycle"	"Glutamate Neurotransmitter Release Cycle"	21	21	11	0.523809523809524	0.192982456140351	11	13	3	0	0.000583684680697583	0.126342531983961
"Sema4D in semaphorin signaling"	"Sema4D in semaphorin signaling"	27	27	14	0.518518518518518	0.210526315789474	12	20	4	0	0.000183529322952514	0.0601567782088266
"Acetylation"	"Acetylation"	2	2	1	0.5	0.0175438596491228	1	1	1	0	0.0501917319040617	1
"Activation and oligomerization of BAK protein"	"Activation and oligomerization of BAK protein"	2	2	1	0.5	0.0175438596491228	1	1	1	0	0.0501917319040617	1
"Activation of CaMK IV"	"Activation of CaMK IV"	2	2	1	0.5	0.0175438596491228	1	1	1	0	0.0501917319040617	1
"Activation of NOXA and translocation to mitochondria"	"Activation of NOXA and translocation to mitochondria"	4	4	2	0.5	0.0350877192982456	2	2	1	0	0.0374043019449743	1
"Activation of PUMA and translocation to mitochondria"	"Activation of PUMA and translocation to mitochondria"	4	4	2	0.5	0.0350877192982456	2	2	1	0	0.0374043019449743	1
"Activation, translocation and oligomerization of BAX"	"Activation, translocation and oligomerization of BAX"	2	2	1	0.5	0.0175438596491228	1	1	1	0	0.0501917319040617	1
"Adenylate cyclase activating pathway"	"Adenylate cyclase activating pathway"	10	10	5	0.5	0.12280701754386	7	7	3	0	0.0113611175454686	0.85748121768373
"Adherens junctions interactions"	"Adherens junctions interactions"	30	30	15	0.5	0.315789473684211	18	22	3	0	0.00021213429676592	0.0657743121947013
"Axonal growth inhibition (RHOA activation)"	"Axonal growth inhibition (RHOA activation)"	8	8	4	0.5	0.0701754385964912	4	4	1	0	0.0170452760005148	1
"COPI Mediated Transport"	"COPI Mediated Transport"	10	10	5	0.5	0.0526315789473684	3	6	2	0	0.0113611175454686	0.85748121768373
"Cam-PDE 1 activation"	"Cam-PDE 1 activation"	4	4	2	0.5	0.0350877192982456	2	2	1	0	0.0374043019449743	1
"Cohesin Loading onto Chromatin"	"Cohesin Loading onto Chromatin"	10	10	5	0.5	0.12280701754386	7	7	3	0	0.0113611175454686	0.85748121768373
"Degradation of GABA"	"Degradation of GABA"	2	2	1	0.5	0.0350877192982456	2	2	2	0	0.0501917319040617	1
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	12	12	6	0.5	0.087719298245614	5	7	2	0	0.00757451134655118	0.712265551886482
"Dopamine Neurotransmitter Release Cycle"	"Dopamine Neurotransmitter Release Cycle"	18	18	9	0.5	0.157894736842105	9	11	3	0	0.00226760852760965	0.329297278142137
"Downregulation of ERBB4 signaling"	"Downregulation of ERBB4 signaling"	8	8	4	0.5	0.105263157894737	6	6	2	0	0.0170452760005148	1
"ER Quality Control Compartment (ERQC)"	"ER Quality Control Compartment (ERQC)"	6	6	3	0.5	0.0526315789473684	3	3	1	0	0.0254777936895478	1
"Golgi to ER Retrograde Transport"	"Golgi to ER Retrograde Transport"	10	10	5	0.5	0.0526315789473684	3	6	2	0	0.0113611175454686	0.85748121768373
"Hyaluronan biosynthesis and export"	"Hyaluronan biosynthesis and export"	4	4	2	0.5	0.0350877192982456	2	2	1	0	0.0374043019449743	1
"IRAK2 mediated activation of TAK1 complex"	"IRAK2 mediated activation of TAK1 complex"	10	10	5	0.5	0.105263157894737	6	6	2	0	0.0113611175454686	0.85748121768373
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	5	0.5	0.105263157894737	6	6	2	0	0.0113611175454686	0.85748121768373
"IRF3 mediated activation of type 1 IFN"	"IRF3 mediated activation of type 1 IFN"	6	6	3	0.5	0.0526315789473684	3	3	1	0	0.0254777936895478	1
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	4	4	2	0.5	0.0350877192982456	2	2	1	0	0.0374043019449743	1
"Lysine catabolism"	"Lysine catabolism"	8	8	4	0.5	0.0701754385964912	4	4	1	0	0.0170452760005148	1
"Netrin mediated repulsion signals"	"Netrin mediated repulsion signals"	10	10	5	0.5	0.12280701754386	7	7	3	0	0.0113611175454686	0.85748121768373
"Organic cation transport"	"Organic cation transport"	8	8	4	0.5	0.105263157894737	6	6	2	0	0.0170452760005148	1
"PKA activation"	"PKA activation"	16	16	8	0.5	0.157894736842105	9	10	3	0	0.00338338912548575	0.417365119887731
"Pre-NOTCH Processing in the Endoplasmic Reticulum"	"Pre-NOTCH Processing in the Endoplasmic Reticulum"	6	6	3	0.5	0.175438596491228	10	10	5	0	0.0254777936895478	1
"Regulation of Commissural axon pathfinding by Slit and Robo"	"Regulation of Commissural axon pathfinding by Slit and Robo"	4	4	2	0.5	0.0701754385964912	4	4	2	0	0.0374043019449743	1
