"V1"
"2-LTR circle formation"	"XRCC4"
"3' -UTR-mediated translational regulation"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A"
"5-Phosphoribose 1-diphosphate biosynthesis"	"PRPS1 PRPS1L1"
"A tetrasaccharide linker sequence is required for GAG synthesis"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN"
"A third proteolytic cleavage releases NICD"	"APH1A NCSTN NOTCH1 NOTCH3"
"ABC-family proteins mediated transport"	"ABCA10 ABCA2 ABCA3 ABCA4 ABCA6 ABCA7 ABCA8 ABCB1 ABCB6 ABCB7 ABCB8 ABCC10 ABCC11 ABCC2 ABCC3 ABCC9 ABCD2 ABCD3 ABCG1 ABCG8 CFTR"
"ABCA transporters in lipid homeostasis"	"ABCA10 ABCA2 ABCA3 ABCA6 ABCA7 ABCD2 ABCD3 ABCG1 ABCG8"
"ABH3 mediated Reversal of Alkylation Damage"	"ALKBH3"
"ADP signalling through P2Y purinoceptor 1"	"GNA15 GNB2 GNB3 GNG8 PLA2G4A"
"ADP signalling through P2Y purinoceptor 12"	"GNB2 GNB3 GNG8"
"AKT phosphorylates targets in the cytosol"	"AKT1"
"AKT phosphorylates targets in the nucleus"	"AKT1 RPS6KB2"
"AKT-mediated inactivation of FOXO1A"	"AKT1"
"AMER1 mutants destabilize the destruction complex"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"APC truncation mutants are not K63 polyubiquitinated"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"APC truncation mutants have impaired AXIN binding"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"APC-Cdc20 mediated degradation of Nek2A"	"RPS27A BUB1B CDC20 CDC27"
"APC/C-mediated degradation of cell cycle proteins"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1 SKP2"
"APC/C:Cdc20 mediated degradation of Cyclin B"	"RPS27A CDC20 CDC27"
"APC/C:Cdc20 mediated degradation of Securin"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CDC20 CDC27"
"APC/C:Cdc20 mediated degradation of mitotic proteins"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 CDC20 CDC27 SKP2"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CCNA1"
"ARMS-mediated activation"	"BRAF IL6 JAK2 KIDINS220 MAP2K1 MAP2K2 MAPK1"
"ATF4 activates genes"	"CCL2 DCP2 EXOSC5 NFYC PARN"
"ATF6-alpha activates chaperone genes"	"NFYC HSP90B1 HSPA5"
"ATF6-alpha activates chaperones"	"NFYC HSP90B1 HSPA5 MBTPS1"
"ATM mediated phosphorylation of repair proteins"	"BRCA1"
"ATM mediated response to DNA double-strand break"	"BRCA1"
"ATP sensitive Potassium channels"	"ABCC9"
