"types"	"counts"
"1"	"A2ML1"	1
"2"	"AADAC"	1
"3"	"AADAT"	1
"4"	"AAGAB"	1
"5"	"AAK1"	2
"6"	"ABAT"	2
"7"	"ABCA1"	1
"8"	"ABCA10"	2
"9"	"ABCA2"	1
"10"	"ABCA3"	1
"11"	"ABCA4"	3
"12"	"ABCA6"	1
"13"	"ABCA7"	1
"14"	"ABCA8"	1
"15"	"ABCB1"	1
"16"	"ABCB11"	1
"17"	"ABCB4"	1
"18"	"ABCB6"	1
"19"	"ABCB7"	1
"20"	"ABCB8"	1
"21"	"ABCC10"	1
"22"	"ABCC11"	1
"23"	"ABCC2"	1
"24"	"ABCC3"	1
"25"	"ABCC9"	1
"26"	"ABCD2"	1
"27"	"ABCD3"	1
"28"	"ABCF2"	1
"29"	"ABCG1"	1
"30"	"ABCG2"	1
"31"	"ABCG8"	1
"32"	"ABHD16A"	1
"33"	"ABI1"	1
"34"	"ABLIM1"	1
"35"	"ABR"	1
"36"	"ABTB2"	1
"37"	"ACACB"	2
"38"	"ACAD11"	1
"39"	"ACADM"	1
"40"	"ACADS"	1
"41"	"ACADVL"	1
"42"	"ACAN"	1
"43"	"ACE"	1
"44"	"ACER3"	1
"45"	"ACIN1"	2
"46"	"ACLY"	1
"47"	"ACOT2"	1
"48"	"ACOXL"	1
"49"	"ACP5"	1
"50"	"ACR"	1
"51"	"ACSBG1"	2
"52"	"ACSBG2"	1
"53"	"ACSL1"	1
"54"	"ACSL4"	1
"55"	"ACSM2A"	1
"56"	"ACSS1"	1
"57"	"ACSS3"	1
"58"	"ACTB"	1
"59"	"ACTG2"	2
"60"	"ACTL6B"	1
"61"	"ACTN1"	1
"62"	"ACTN2"	1
"63"	"ADAL"	1
"64"	"ADAM2"	2
"65"	"ADAM20"	2
"66"	"ADAM21"	1
"67"	"ADAM29"	1
"68"	"ADAM32"	1
"69"	"ADAMDEC1"	1
"70"	"ADAMTS10"	1
"71"	"ADAMTS14"	1
"72"	"ADAMTS20"	1
"73"	"ADAMTS3"	1
"74"	"ADAMTS4"	1
"75"	"ADAMTS6"	1
"76"	"ADAMTS7"	1
"77"	"ADAMTS9"	2
"78"	"ADAMTSL1"	2
"79"	"ADAP1"	1
"80"	"ADARB2"	1
"81"	"ADCY1"	3
"82"	"ADCY10"	1
"83"	"ADCY2"	1
"84"	"ADCY3"	1
"85"	"ADCY8"	1
"86"	"ADCY9"	1
"87"	"ADGRA3"	1
"88"	"ADGRB2"	2
"89"	"ADGRD1"	1
"90"	"ADGRE4P"	1
"91"	"ADGRF1"	2
"92"	"ADGRF3"	1
"93"	"ADGRG4"	2
"94"	"ADGRG5"	1
"95"	"ADGRL1"	2
"96"	"ADGRV1"	4
"97"	"ADH1C"	1
"98"	"ADIG"	1
"99"	"ADIPOQ"	1
"100"	"ADNP"	2
"101"	"ADRA1D"	1
"102"	"ADRA2C"	1
"103"	"ADRBK2"	1
"104"	"AEN"	1
"105"	"AFAP1"	2
"106"	"AFF1"	3
"107"	"AFF3"	1
"108"	"AFF4"	1
"109"	"AFM"	1
"110"	"AGAP2"	1
"111"	"AGBL5"	1
"112"	"AGGF1"	1
"113"	"AGK"	1
"114"	"AGL"	2
"115"	"AGO1"	1
"116"	"AGO3"	1
"117"	"AGO4"	3
"118"	"AGTPBP1"	5
"119"	"AGTR1"	1
"120"	"AHCTF1"	1
"121"	"AHCYL2"	1
"122"	"AHDC1"	2
"123"	"AHNAK"	2
"124"	"AHNAK2"	4
"125"	"AHR"	1
"126"	"AHRR"	1
"127"	"AHSG"	2
"128"	"AICDA"	1
"129"	"AIFM2"	1
"130"	"AIM1"	1
"131"	"AIP"	1
"132"	"AKAP12"	1
"133"	"AKAP13"	1
"134"	"AKAP3"	3
"135"	"AKAP4"	1
"136"	"AKAP6"	2
"137"	"AKAP9"	1
"138"	"AKNA"	1
"139"	"AKR7L"	1
"140"	"AKT1"	1
"141"	"AL008723-1"	1
"142"	"ALB"	2
"143"	"ALDH18A1"	1
"144"	"ALDH1A3"	1
"145"	"ALDH1L1"	1
"146"	"ALDH3A1"	1
"147"	"ALDH7A1"	1
"148"	"ALG10"	1
"149"	"ALG12"	1
"150"	"ALK"	1
"151"	"ALKBH1"	1
"152"	"ALKBH3"	1
"153"	"ALKBH5"	1
"154"	"ALKBH7"	1
"155"	"ALMS1"	2
"156"	"ALOX15B"	1
"157"	"ALOXE3"	1
"158"	"ALPI"	1
"159"	"ALPK1"	2
"160"	"ALPK2"	1
"161"	"ALPK3"	6
"162"	"ALS2CL"	1
"163"	"ALS2CR11"	1
"164"	"ALS2CR12"	1
"165"	"AMER2"	1
"166"	"AMPH"	1
"167"	"ANGPT4"	1
"168"	"ANGPTL2"	1
"169"	"ANGPTL7"	1
"170"	"ANK2"	1
"171"	"ANK3"	8
"172"	"ANKFN1"	1
"173"	"ANKHD1-EIF4EBP3"	1
"174"	"ANKLE2"	1
"175"	"ANKRD11"	1
"176"	"ANKRD12"	1
"177"	"ANKRD13A"	1
