Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-BA-4074-01A-01D-1432-01	1	3218610	185987778	90247	0.000000
TCGA-BA-4074-01A-01D-1432-01	1	185990882	186318127	216	-0.421874
TCGA-BA-4074-01A-01D-1432-01	1	186323879	239654335	33996	0.000000
TCGA-BA-4074-01A-01D-1432-01	1	239657705	239751065	82	-0.491255
TCGA-BA-4074-01A-01D-1432-01	1	239751101	242619677	2134	0.000000
TCGA-BA-4074-01A-01D-1432-01	1	242619825	244158552	886	0.943842
TCGA-BA-4074-01A-01D-1432-01	1	244159143	245322600	567	0.316264
TCGA-BA-4074-01A-01D-1432-01	1	245325992	247813706	1069	-0.507004
TCGA-BA-4074-01A-01D-1432-01	2	484222	35182361	20848	0.000000
TCGA-BA-4074-01A-01D-1432-01	2	35186283	44305461	5058	-0.508049
TCGA-BA-4074-01A-01D-1432-01	2	44306584	242476062	105442	0.000000
TCGA-BA-4074-01A-01D-1432-01	3	2212571	30120416	16479	0.000000
TCGA-BA-4074-01A-01D-1432-01	3	30121530	30660769	341	-0.577643
TCGA-BA-4074-01A-01D-1432-01	3	30667425	85688595	31819	0.000000
TCGA-BA-4074-01A-01D-1432-01	3	85689076	85741471	35	-0.633059
TCGA-BA-4074-01A-01D-1432-01	3	85742206	197538677	57747	0.000000
TCGA-BA-4074-01A-01D-1432-01	4	1053934	188762240	102782	0.000000
TCGA-BA-4074-01A-01D-1432-01	5	914233	15331400	9881	1.659109
TCGA-BA-4074-01A-01D-1432-01	5	15332569	15333338	8	0.000000
TCGA-BA-4074-01A-01D-1432-01	5	15333853	45378456	16060	1.703900
TCGA-BA-4074-01A-01D-1432-01	5	50124856	176597710	72884	0.000000
TCGA-BA-4074-01A-01D-1432-01	5	176598502	176673782	42	-0.638966
TCGA-BA-4074-01A-01D-1432-01	5	176674288	180360469	1673	0.000000
TCGA-BA-4074-01A-01D-1432-01	6	1014281	115831528	63896	0.000000
TCGA-BA-4074-01A-01D-1432-01	6	115832410	115843177	7	0.822295
TCGA-BA-4074-01A-01D-1432-01	6	115846615	144292587	16792	0.000000
TCGA-BA-4074-01A-01D-1432-01	6	144296085	144315783	12	-0.574073
TCGA-BA-4074-01A-01D-1432-01	6	144317124	170903919	15825	0.000000
TCGA-BA-4074-01A-01D-1432-01	7	705284	52775956	30968	0.000000
TCGA-BA-4074-01A-01D-1432-01	7	52781473	52815289	36	-0.531035
TCGA-BA-4074-01A-01D-1432-01	7	52822154	158385118	50351	0.000000
TCGA-BA-4074-01A-01D-1432-01	8	617667	74422866	40382	0.000000
TCGA-BA-4074-01A-01D-1432-01	8	74423329	74615535	91	-0.475726
TCGA-BA-4074-01A-01D-1432-01	8	74619208	145232496	41103	0.000000
TCGA-BA-4074-01A-01D-1432-01	9	789932	21860428	13433	0.000000
TCGA-BA-4074-01A-01D-1432-01	9	21864535	22031005	120	-0.511628
TCGA-BA-4074-01A-01D-1432-01	9	22033181	140938752	54494	0.000000
TCGA-BA-4074-01A-01D-1432-01	10	415240	34711665	23820	0.000000
TCGA-BA-4074-01A-01D-1432-01	10	34713086	34859939	89	-1.167282
TCGA-BA-4074-01A-01D-1432-01	10	34865568	36980674	1212	0.000000
TCGA-BA-4074-01A-01D-1432-01	10	36984039	37196047	132	0.849065
TCGA-BA-4074-01A-01D-1432-01	10	37196818	37802532	312	0.396190
TCGA-BA-4074-01A-01D-1432-01	10	37806045	135225087	55340	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	456120	67215205	35568	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	67224594	67294308	30	0.440708
TCGA-BA-4074-01A-01D-1432-01	11	67770619	68351258	255	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	68351891	68539068	84	0.403772
TCGA-BA-4074-01A-01D-1432-01	11	68539869	68649470	56	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	68652202	68721372	49	1.102433
TCGA-BA-4074-01A-01D-1432-01	11	68724270	69395013	396	2.873825
TCGA-BA-4074-01A-01D-1432-01	11	69395231	71191538	1061	3.535626
TCGA-BA-4074-01A-01D-1432-01	11	71191562	71205375	10	2.536415
TCGA-BA-4074-01A-01D-1432-01	11	71205408	71262005	33	1.102433
TCGA-BA-4074-01A-01D-1432-01	11	71267451	71430356	54	2.586126
TCGA-BA-4074-01A-01D-1432-01	11	71430703	71630226	41	1.102433
TCGA-BA-4074-01A-01D-1432-01	11	71634344	71778822	78	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	71779996	71832135	29	0.684959
TCGA-BA-4074-01A-01D-1432-01	11	71834288	95884157	14239	0.000000
TCGA-BA-4074-01A-01D-1432-01	11	95886471	95987466	88	-0.601093
TCGA-BA-4074-01A-01D-1432-01	11	95990783	134140152	25203	0.000000
TCGA-BA-4074-01A-01D-1432-01	12	889902	23907681	13390	0.000000
TCGA-BA-4074-01A-01D-1432-01	12	23908685	24257565	228	-0.482334
TCGA-BA-4074-01A-01D-1432-01	12	24265208	59372581	16890	0.000000
TCGA-BA-4074-01A-01D-1432-01	12	59374447	59463166	76	-0.473952
TCGA-BA-4074-01A-01D-1432-01	12	59463760	133161346	43391	0.000000
TCGA-BA-4074-01A-01D-1432-01	13	19450806	20115373	368	0.763698
TCGA-BA-4074-01A-01D-1432-01	13	20527411	38711889	11707	0.000000
TCGA-BA-4074-01A-01D-1432-01	13	38722679	38821970	88	-0.567613
