cytoband	9p21.3	8p23.2	4q35.2	11q23.1	2q22.1	7q36.1	18q23	19p13.3	1p13.2	2q36.2	9p24.1	5q11.2	13q12.11	Xp21.3	10p11.21	16q23.3	13q14.2	10q23.31	1p36.13	2q21.2	6p25.3	17q25.3	5q35.2	Xp11.3	3p12.2	14q32.32	14q11.2	9q34.3	3p14.2	4q22.1	4p15.31	19q13.43	11p15.4	18q21.2	15q15.1	7q31.1	3p24.1	16q12.1	10p15.3	9p13.1	
q value	6.1017e-122	9.1362e-55	1.787e-18	5.4343e-18	5.7048e-26	2.2306e-14	1.2263e-14	7.6645e-12	1.87e-11	1.0111e-15	3.1178e-21	9.3394e-08	1.4284e-12	5.852e-07	4.2918e-07	2.7598e-06	3.2657e-10	1.0151e-05	2.0855e-06	6.6647e-15	0.00020205	0.0012053	0.00050687	2.6904e-05	0.00025339	0.0019046	0.0038526	0.014022	6.6506e-05	0.0030992	0.020771	0.033431	0.035186	3.1564e-08	0.052389	8.6837e-06	0.0033835	0.10673	0.11004	0.0010731	
residual q value	7.5877e-109	9.1362e-55	5.4343e-18	5.4343e-18	6.7173e-18	2.0056e-12	7.1008e-12	7.6645e-12	1.5764e-10	3.6567e-08	1.3139e-07	1.7341e-07	3.7452e-07	5.6716e-07	8.373e-07	2.6317e-06	4.9146e-06	1.073e-05	2.0713e-05	4.9239e-05	0.00019477	0.0011612	0.0013692	0.004253	0.0046208	0.0073793	0.0086011	0.014121	0.015431	0.016321	0.021344	0.033431	0.035714	0.0455	0.050271	0.064397	0.077945	0.10854	0.17843	0.1951	
wide peak boundaries	chr9:21865498-21997722	chr8:2079140-6262191	chr4:187475875-188227950	chr11:108811192-116715687	chr2:139655617-143637838	chr7:148117946-153767963	chr18:67995567-78077248	chr19:1-1271528	chr1:112530734-149881397	chr2:206661703-243199373	chr9:8310705-12693402	chr5:58145167-59787985	chr13:1-23755126	chrX:27994560-98718611	chr10:34059131-35328087	chr16:82159666-83844787	chr13:33635940-60240001	chr10:89617158-90034038	chr1:7829287-20211791	chr2:133423352-134889663	chr6:1101324-2250882	chr17:80698053-80902410	chr5:176521457-176731866	chrX:44702452-45008304	chr3:75363575-93777876	chr14:81998189-107349540	chr14:1-31097180	chr9:139376600-139456211	chr3:61234833-62281357	chr4:90844993-93240505	chr4:1-36070348	chr19:57166834-59128983	chr11:1-19372513	chr18:48351671-49870310	chr15:1-63337737	chr7:109599468-111366370	chr3:28799677-30767809	chr16:31772318-61686142	chr10:1-10831373	chr9:38062428-71152237	
genes in wide peak	CDKN2A	CSMD1	FAT1	hsa-mir-4301	LRP1B	hsa-mir-671	CYB5A	hsa-mir-3187	hsa-mir-3118-3	hsa-mir-3133	PTPRD	hsa-mir-582	FGF9	hsa-mir-548m	PARD3	hsa-mir-3182	hsa-mir-1297	PTEN	hsa-mir-1290	NCKAP5	FOXF2	TBCD	RAB24	KDM6A	hsa-mir-4273	hsa-mir-203	hsa-mir-3171	NOTCH1	PTPRG	FAM190A	hsa-mir-4275	hsa-mir-1274b	hsa-mir-3159	SMAD4	hsa-mir-190	LRRN3	TGFBR2	hsa-mir-138-2	hsa-mir-3155	hsa-mir-1299	
	C9orf53			hsa-mir-34c		hsa-mir-1975	GALR1	hsa-mir-1302-11	hsa-mir-3118-2	hsa-mir-149		PDE4D	GJA3	hsa-mir-361		CDH13	hsa-mir-759	KLLN	hsa-mir-1273d	MIR3679	FOXC1	ZNF750	NSD1	DUSP21	hsa-mir-1324	hsa-mir-4309	hsa-mir-4307	C9orf163	ID2B		hsa-mir-573	A1BG	hsa-mir-4299	ME2	hsa-mir-2116	IMMP2L	RBMS3	hsa-mir-3181	ADARB2	ALDH1B1	
				APOA1		ABP1	MBP	ATP5D	hsa-mir-3118-1	hsa-mir-4269		PART1	GJB2	hsa-mir-548i-4		MPHOSPH6	hsa-mir-15a		hsa-mir-34a		GMDS				EPHA3	hsa-mir-1247	hsa-mir-208b	MIR4673			hsa-mir-218-1	FKBP1AP1	hsa-mir-302e	MEX3C	hsa-mir-628			hsa-mir-1826	ATP5C1	PGM5	
				APOA4		CDK5	NFATC1	AZU1	hsa-mir-942	hsa-mir-562			TUBA3C	hsa-mir-4328		MIR3182	hsa-mir-3168		RERE		FOXQ1				GBE1	hsa-mir-656	hsa-mir-1201	MIR4674			hsa-mir-572	PEG3	hsa-mir-483	ELAC1	hsa-mir-1266			ADCY7	CALML3	ZNF658	
				APOC3		EZH2	ZNF236	HCN2	hsa-mir-320b-1	hsa-mir-1471			ZMYM2	hsa-mir-325			hsa-mir-621		CA6						HTR1F	hsa-mir-370	ANG				hsa-mir-3138	RPS5	hsa-mir-675	LOC100287225	hsa-mir-147b			AMFR	AKR1C4	FAM75A7	
				CRYAB		GBX1	CTDP1	BSG	hsa-mir-4256	hsa-mir-1244-1			IFT88	hsa-mir-384			hsa-mir-4305		CAPZB						POU1F1	hsa-mir-345	APEX1				hsa-mir-548i-2	AURKC	hsa-mir-4298		hsa-mir-1282			BBS2	KLF6	CNTNAP3	
				DLAT		KCNH2	ZNF516	CDC34	AMPD1	hsa-mir-4268			ZMYM5	hsa-mir-374a			ATP7B		CASP9						PROS1	hsa-mir-342	BCL2L2				hsa-mir-95	ZNF8	hsa-mir-210		hsa-mir-627			CBLN1	AKR1C1	ANKRD20A1	
				DRD2		NOS3	TSHZ1	CNN2	RHOC	hsa-mir-3132			SAP18	hsa-mir-223			RCBTB2		TNFRSF8						ROBO1	hsa-mir-3173	CEBPE				hsa-mir-4274	ZNF17	ADM		hsa-mir-4310			CES1	AKR1C2	FAM201A	
				FDX1		RARRES2	TXNL4A	CFD	ATP1A1	hsa-mir-153-1			GJB6	hsa-mir-1468			CPB2		CLCN6						ROBO2	SERPINA3	CMA1				hsa-mir-943	MZF1	AP2A2		hsa-mir-626			CETP	GATA3	CBWD5	
				HSPB2		RHEB	ADNP2	ARID3A	BCL9	hsa-mir-3131			LATS2	hsa-let-7f-2			ELF1		CLCNKA						CGGBP1	AKT1	LTB4R				hsa-mir-571	ZNF132	AMPD3		hsa-mir-1233-2			CNGB1	GDI2	ANKRD18A	
				HTR3A		SLC4A2	KCNG2	ELANE	CAPZA1	hsa-mir-26b			CRYL1	hsa-mir-502			ESD		CLCNKB						CHMP2B	BDKRB1	CTSG				ADD1	ZNF134	APBB1		hsa-mir-1233-1			CSNK2A2	IDI1	LOC286297	
