cytoband	11q13.3	3q26.33	7p11.2	8p11.23	8q24.21	9p13.3	12q15	13q22.1	7q22.1	20q11.22	9p23	18q11.2	2q31.2	2q11.2	17q12	18p11.31	5p15.33	11p13	6p12.1	12p13.33	8q11.21	6q12	5p12	2q32.2	1q21.2	14q11.2	15q26.3	11p11.2	Xq28	
q value	2.6983e-163	2.6644e-33	7.999e-25	3.7095e-15	1.2286e-10	4.7933e-10	4.9254e-08	1.8355e-07	1.312e-05	1.312e-05	4.6306e-07	5.1163e-05	1.6328e-07	3.4438e-05	0.00048716	0.0035482	0.00040983	0.00087084	0.010437	0.019497	0.0012517	0.026493	0.026493	6.3392e-05	0.17184	0.17184	0.19519	0.0067996	0.24589	
residual q value	2.6983e-163	2.6644e-33	7.999e-25	4.3317e-15	1.3256e-09	1.1585e-08	4.9254e-08	1.8355e-07	1.312e-05	1.312e-05	4.2563e-05	5.1163e-05	0.00020558	0.00028014	0.00048716	0.0035482	0.0068914	0.011676	0.01475	0.019497	0.035907	0.036894	0.12117	0.1233	0.17184	0.17184	0.19519	0.19949	0.24589	
wide peak boundaries	chr11:70036108-70236792	chr3:178505052-182847182	chr7:55040275-55429016	chr8:38147031-38270604	chr8:128163472-128440166	chr9:35438295-36015652	chr12:69215691-70378943	chr13:73865469-74043687	chr7:96843448-100656111	chr20:31799297-32632528	chr9:13397807-14321078	chr18:20718726-20946198	chr2:177964800-178316565	chr2:97503963-97572142	chr17:37765176-38028984	chr18:2830250-4802485	chr5:1-1415403	chr11:35817626-36225178	chr6:53071691-55852153	chr12:1-6057976	chr8:49118224-50070119	chr6:64257063-64568802	chr5:39932337-50133343	chr2:190623491-192458746	chr1:120523956-149884926	chr14:21146585-21755733	chr15:95333760-102531392	chr11:44546506-46821077	chrX:151321444-155270560	
genes in wide peak	hsa-mir-548k	ACTL6A	EGFR	FGFR1	POU5F1B	CA9	hsa-mir-1279	[KLF5]	hsa-mir-106b	E2F1	NFIB	TMEM241	hsa-mir-3128	ANKRD39	ERBB2	TGIF1	SDHA	TRIM44	BMP5	CACNA1C	SNAI2	PTP4A1	hsa-mir-1274a	MSTN	hsa-mir-3118-3	ANG	hsa-mir-1302-10	hsa-mir-3160-2	hsa-mir-1184-3	
	PPFIA1	NDUFB5		WHSC1L1		CD72	CPM		ACHE	SNTA1	FLJ41200	CABLES1	NFE2L2	FAM178B	GRB7	MYOM1	SLC6A3	LDLRAD3	GCLC	CCND2	EFCAB1	PHF3	C6	GLS	hsa-mir-3118-2	HNRNPC	hsa-mir-1469	ARHGAP1	hsa-mir-1184-2	
	FADD	PIK3CA		LETM2		NPR2	LYZ		ASNS	CBFA2T2	C9orf146		AGPS	SEMA4C	PNMT	DLGAP1	SLC9A3	MIR3973	HCRTR2	FGF6	C8orf22	EYS	C7	INPP1	hsa-mir-3118-1	RNASE1	ALDH1A3	CHRM4	hsa-mir-1184-1	
	MIR548K	SOX2				RMRP	MDM2		AZGP1	PXMP4			HNRNPA3	ANKRD23	TCAP	LPIN2	TERT		TINAG	FKBP4			FGF10	MYO1B	BCL9	RNASE2	IGF1R	CRY2	hsa-mir-718	
		FXR1				TESK1	YEATS4		CYP3A7	RALY			LOC100130691		STARD3	MYL12A	TRIP13		HMGCLL1	FOXM1			GHR	NAB1	FCGR1A	RNASE3	MEF2A	F2	hsa-mir-105-2	
		USP13				TLN1	CCT2		CYP3A4	BPIFA1			MIR3128		IKZF3	EMILIN2	PDCD6		LRRC1	KCNA1			HMGCS1	PMS1	FCGR1B	RNASE4	PCSK6	CD82	ABCD1	
		KCNMB2				TPM2	FRS2		CYP3A5	CDK5RAP1			MIR4444-1		PPP1R1B	MYL12B	SLC12A7		ELOVL5	KCNA5			OXCT1	STAT1	FMO5	RNASE6	SNRPA1	MDK	ARHGAP4	
